author,updated_at,like_count,text,public
@naveenbabukeshaboina7180,2024-05-01T06:42:53Z,0,getting failed to fetch while creating new notebook,True
@aditikumawat645,2024-03-26T16:30:32Z,0,I can not download it I mean the 3.7 version I did the same shown in video. Please share the link to download anaconda R 3.7,True
@kksilvery,2024-03-08T08:57:55Z,0,Day 1 - 08/03/2024 (I will see you in the next tutorial),True
@JacklinSibiyal,2024-02-16T14:24:24Z,1,Day 1 - 16/02/2024,True
@Thaniya_Jazz,2024-02-10T08:23:29Z,0,varyyyyyyyyyyyyyyyyyyyyyy🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮,True
@karnikasingh3609,2024-01-06T11:58:12Z,0,"hi krish ....after installing anaconda and jupyter notebook , i am unable to create a new file. it shows error",True
@ashwinr8317,2023-12-31T14:01:07Z,0,bro keep bookmark for Singam - Kadhal Vandhale song. Think bro interested in Tamil Language.,True
@zainabzafari2336,2023-12-03T10:31:33Z,0,"Hi Krish, Thank you very much for your great tutorial. I want to learn machin learning with python. Do I need to study this series also or the series of complete Machin Learning is enough?",True
@user-xn5ut5pn2h,2023-09-06T15:45:56Z,2,"I am in my final year of university to become an electrical engineer. But now I realize that I don't like my field anymore. Today, September 6, 2023, I decided to become a data scientist instead. Your video inspired me a lot. Thank you for your effort!",True
@Rahul_5739,2023-08-22T05:27:26Z,0,"Sir , i want to know about where to use the double or single quotes . Is both having any difference.",True
@hardikmehta140,2023-06-27T15:35:57Z,0,Completed 27 June 2023,True
@Shreharsh_Dubey,2023-04-30T14:00:59Z,0,Thank You video is osm,True
@debjyotiroy5558,2023-03-24T16:52:11Z,1,"Sir can use f""{}"" string instead of using .format???",True
@cricjack9076,2023-02-10T06:48:35Z,0,In 2023 anaconda 3.9 version is available but I tried to install this properly but it didn't happen how can I install this? Anyone knows please help me,True
@KapilKumar-cu6ub,2022-09-28T15:50:55Z,0,Unable to download anaconda please help !,True
@gouthamie8843,2022-09-22T09:23:26Z,0,Hi Krishna I'm facing installation with Ananconda could u help me out,True
@tatividumaamey5828,2022-09-14T03:56:00Z,0,Why my eyes looking for singam kadhal vanthale 1.06,True
@vinitaagarwal5,2022-07-19T03:55:21Z,0,i have been trying to download ananconda for days now but i am always getting a  message of installation failed at last. i have a macbook pro . please help me as i am not able to take anything further.,True
@mamathraj730,2022-07-04T07:37:41Z,0,"Hi Krish, Thank you for the Motivational videos and you are true Data Scientist Sadhguru..",True
@deepsharma8486,2022-07-03T05:58:24Z,1,BOSS UR SUPERB I HAVE SAW MANY VIDEOS BUT THEY JUST COMPLETE IN 2 HOURS OR ELSE BUT YOU HAVE DONE IT DEEPLY AND VERY EASILY.. THANK YOU SO MUCH,True
@adeshsinghtomar5115,2022-06-21T23:19:24Z,0,"There's a voice lagging in the video, it already happended 4-5 times and i haven't finished the video yet, your voice suddenly gets very low for few seconds and get back to normal after it. pls look into this .",True
@su8nita,2022-06-21T18:11:05Z,0,"Hello sir, can I use any other IDE , such as pycharm instead of anaconda. I m facing problems in installation. Will I be able to learn the same things using pycharm",True
@vishallakhera6295,2022-06-14T17:14:15Z,0,"Hi Krish , I really appreciate the work you're doing over here , I love how you explain things.",True
@DineshKumar-gg7zt,2022-06-03T09:45:50Z,0,Sir what is mean by jupiter notebook,True
@varunsingh9432,2022-05-29T01:23:23Z,0,how it works as shift+tab for Mac ????,True
@pavanpc7665,2022-04-13T17:09:02Z,0,"Hi i am getting a error as 'str' object is not calliable for the command - print(""My First name is {first} and last name is {last}"".format(first=first_name,last=last_name))   -  can any one why it is the same as shown in the vedio",True
@hejsjsi2449,2022-03-27T08:33:02Z,0,"can't creat menus, this anaconda thing is trash",True
@jibinjohn8569,2022-03-15T12:53:44Z,0,Thnku sir,True
@Hariom-bg6jv,2022-03-14T10:52:31Z,0,Compiler kernel??... Python is interpreted one? Then,True
@akhileshthematrix,2022-03-08T17:16:26Z,0,"Sir, I've just got Anaconda 3.9 version installed on my Laptop & started working on the tutorial. Is it going to be more different as the tutorial is based on 3.7?",True
@wellwhatdoyakno6251,2022-01-31T08:45:15Z,0,"Hi Krish,  Applying for entry level to mid level jobs in AI data science in Germany, I have three months time, I am on a deadline, I NEED to get a job at any cost for family reasons by Feb max March.  I am 31. I have CS degree from USA. currently in India. I was thinking ML playlist and DL playlist after python Playlist.  How important is Stats too?  I need your advice, It will be my first ML DL job if I get it, I am passionate about Comp Vis and DL for a career.  Please advice me, I also sent you a message on LinkedIn.   what's the map you would have me implement to ace a job in DS in the next month.  I already have thorough classroom experience AI for a year in all concepts, just need to build something and explain the map of data science life cycle. Perhaps I will get a job.  Please reply to this comment with your advice sir.   Blessings to you Jesus name.  D.",True
@wellwhatdoyakno6251,2022-01-31T08:38:41Z,0,"hi krish at 14:55 I am using a Mac. I hit shift and it doesn't show the description, any advice? for MAC.",True
@indirajithkv7793,2022-01-25T17:58:45Z,0,❤,True
@iabhinav7403,2022-01-08T11:07:23Z,0,"Hi, when I am doing it without print function, type( output) returns str, while within print function it is returning NoneType, Can you help me on this?  let's say name = xyz print(""My name is {}"".format(name)) output will be - My name is xyz type(print(""My name is {}"".format(name))) output - nonetype  ""my name is {}"".format(name) Output - 'My name is xyz' type(""my name is {}"".format(name)) output- str",True
@aabcghjkl8964,2022-01-07T14:14:38Z,0,Thanks!,True
@Life_with_Veers_Vlog,2022-01-05T04:50:00Z,0,"Hi Krish... Can you please tell me what key do you press after inserting the comments in ""INput 1"" to see the out 1?",True
@abdulsheikh1871,2022-01-05T00:52:17Z,0,"Hi Krish, Your efforts are much  appreciated. Firstly, It would be great and more helpful if we can discuss only points which are planned to be discussed. It seems we are moving away from our planned points during class and distracting from actual points. Secondly, I am assuming these tutorial are for all level of learners such as beginner to  mid level so pace of teaching would be slow of its possible. I hope you don't  mind ....)))",True
@itsjustdinesh,2021-12-15T13:35:33Z,0,Please help me,True
@itsjustdinesh,2021-12-15T13:35:24Z,0,Bro when just type jupyter notebook in anaconda command I didn't get the page like you got I got different,True
@neelanjanbanerjee5869,2021-12-10T07:40:06Z,13,"You're jumping from one topic to another. What exactly is Jupyter notebook?? What exactly is Python?? What are all the jargons that you're using?? As a complete beginner, you're making me feel more confused than before. You're showing us random things but what exactly is happening?? Sorry for the negative comment but I'm just being honest.",True
@somyyagupta8576,2021-12-04T13:40:51Z,0,we can use google colab ?,True
@bijinicb6083,2021-11-23T06:43:33Z,0,"What is the need of installing anaconda ,when there is a dafault option for running jupyter notebooks in python cmd.  py idle is enough right for beginners.. and jupyter notebook or colab  for experts. why going for an extra tool ? better using the dafult python idle right? more memory saving...!!",True
