author,updated_at,like_count,text,public
@outroutono4937,2023-04-03T05:17:16Z,0,Could LSTM be a good way to make the AI get better reflexes?,True
@outroutono4937,2023-04-03T05:16:27Z,0,My model to play Morrowind was so shitty and i was so sure i had a good amount of samples(20k). Now i see you got 300k to do that. There we go to inifinite screenshots work again😅,True
@miranda.cooper,2022-05-06T14:21:20Z,0,Lmfao that was fucking great! xD,True
@bensas42,2022-03-16T08:13:36Z,0,"So the only difference between the model in this video and in the last one is that you fed it a lot more data? (AKA, it's still alexnet with the same kind of input, output, and layer structures?)",True
@adeepak30,2021-05-23T13:31:46Z,0,7:40 His code crashes* Him: InTresTiNg When my code crashes: Oh shit here we go again Proceeds smashing my head against the table,True
@sandeepganesh7397,2020-12-03T15:11:33Z,0,"Anyone,  *np.load(''training_data-{}-balanced.npy"".format(i), allow_pickle=True)* is not accessing the npy file. Im getting this error - *ValueError: Array can't be memory-mapped: Python objects in dtype.* Has anyone solved this issue?",True
@ryanbevins4645,2020-08-04T05:55:59Z,0,"I feel like this could probably be improved if it simulated a controller rather than a keyboard, sudden a/d movements make it look jerky.",True
@gilsonjunior_narrador,2020-06-09T02:51:47Z,0,"Hi sentdex, which tensorflow version are you using ? In 2.2.(jun/20) there is not tensorflow.contrib and there are many warnings. Thanks",True
@16rongon,2020-05-18T19:24:15Z,0,Just noticed that you entirely changed the input size of the images to your CNN from 80x60 to 160x20,True
@jermsbestfriend9296,2020-04-16T14:18:58Z,0,"This would be infinitely more interesting without cars because it seems like you don't have any logic to deal with the cars, anyway.",True
@prasanthkumar1683,2020-02-21T19:15:58Z,0,How did you get that training data?,True
@jannickbreunis,2020-01-17T23:25:14Z,0,This is just extremely awesome. And already three years old! The possibilities...,True
@festro1000,2019-10-16T04:03:50Z,0,oncoming traffic is the best way to ditch the police as long as you can dodge the cars.,True
@conreo,2019-10-13T10:31:53Z,0,does the AI try to hit other car because in your trading you try to drive close to other car ? I mean everyone gamer on GTA try to drive as close is possible to other car for fun so i can explain it .,True
@NguyenTuan-zs4fg,2019-09-09T17:50:03Z,0,"Hi, just one small question. During the training data collecting, you drove from the 1st person view but for now, you're testing it from the 3rd person view. As I understand, you need to use the 1st person view also, or did you make any changes to the way of collecting training data? Thank you! :D",True
@fast_harmonic_psychedelic,2019-08-19T20:24:06Z,0,There's also a way to mount the camera on the hood of the car instead of being in the drivers seat. I saw that somewhere.,True
@fast_harmonic_psychedelic,2019-08-19T20:21:36Z,0,Have you tried changing the handling.meta or other handling improvement mods that might make your car actually handle better and be more reactive or realistic?  One of the issues with crashing seems to be that the vehicle simply turns too slow with the AI at no fault of its own -- its doing the best it can with poor handling and unrealistic intertia. Maybe if you try increasing the handling settings of the vehicles it would drive better?,True
@colecline9951,2019-07-17T01:57:55Z,0,The major problem with your AI is that tou haven't added a optic algorithm/label that allows it to see/study inputs from from the screen and then it compare data from how it affected the speed and it will then be timed actions and less likely to make random left and right turns and learn to stay on the highway to get maximum speed and length.,True
@ihateevilbill,2019-05-29T23:08:26Z,0,That moment when you realise you forgot to turn off for the airport so you drove into the nearest car and landed on the right road. Genius :),True
@ankitnain64,2019-05-26T18:50:44Z,0,"Till now I have no interest in coding but after going through ur playlist and ur well explaning technique, After 3rd July i'm gonna start viewing ur videos. Great work. From where you have learnt coding.",True
@juli46521,2019-05-22T21:42:31Z,0,screen,True
@FourDogs1111,2019-05-19T14:58:31Z,0,"Not a coder, but it seems to me like the time spent turning is constant when the speed isn't.  Also, perhaps the computer can't predict the conditions after a few feet in front of him",True
@user-xu9ns4fm8z,2019-04-24T13:23:56Z,0,How to you run this on gpu it is only rin on my cpu,True
