author,updated_at,like_count,text,public
@krushnakumargajbhiye2871,2023-12-08T18:41:03Z,0,Time wasting video,True
@bellatrix.s5916,2023-06-20T11:03:15Z,0,Such basic videos are required for naive students. Thank you for creating such content,True
@rezahamzeh3736,2022-12-01T22:59:09Z,0,6 minutes of time wasted on ADV for a simple solution?!!! Shame!,True
@alexfelker2361,2022-11-21T16:27:53Z,0,he starts typing at 4:10,True
@vanisridhar5509,2022-11-16T18:31:08Z,0,Thank you bro 🔥🔥,True
@munendrareddy8110,2022-06-21T12:41:17Z,0,for me pandas are not installing in requirements.txt file can i know the reason,True
@MrKB_SSJ2,2022-03-27T10:17:28Z,0,Thank you..,True
@shareeverywhere3996,2022-02-10T12:19:10Z,0,Sir where I can get the requirements.txt file ..... please share the link sir,True
@prajwalpant,2022-01-30T03:08:55Z,0,4:00 Is where he teach you how to do that,True
@GoodrumMC,2021-09-24T01:46:02Z,19,video starts at 3:37,True
@meldrickfernandes965,2021-05-04T05:14:24Z,0,Thank You,True
@saishastech8023,2021-02-21T07:27:45Z,1,Nicely explained ☺️ Joined you 👍 Stay connected 👍,True
@vineetkumar8876,2021-02-21T05:52:34Z,1,"Dear krish, as I have subscribed your channel I have some doubt and many times I have written to you but no one has responded,",True
@seanbenhur,2021-02-20T14:19:30Z,7,"I always use pipreqs, it goes through our import statements and generates the text file, while pip freeze adds all the dependencies also which is a mess",True
@abdullahshaikh7254,2021-02-19T18:19:38Z,1,How do i use requirement.txt to install all library on another desktop ? Using requirement.txt,True
@janakiraam1,2021-02-19T16:15:31Z,1,Great video sir. Thanks sir,True
@techsparkle6660,2021-02-19T15:12:10Z,1,I want to learn ai for that how I have to approach can u guide me. I am a first yr cse student. But i am from bio grp in my 11th and 12 th std. So i have no idea about cse. It will difficult for me to handle cse,True
@techsparkle6660,2021-02-19T15:08:01Z,2,Hlo sir. Can u pls reply me,True
