author,updated_at,like_count,text,public
@snehaneeluri4154,2022-03-27T00:32:03Z,3,Sir please make  sample project of end to end data analysis project,True
@ravinift18,2022-03-26T07:52:41Z,0,krish sir can u teach us SYSTEM COMMAND LINUX,True
@tannurohela6192,2022-03-25T20:19:06Z,0,"Hey everyone, I lost a lot of my sheets just now. I was working in a sheet and clicked on Reload page button and then when I went to see my other sheets they were all lost.  Can anyone please tell  how to recover the lost sheets.",True
@adarshmishraece,2022-03-25T05:33:09Z,1,Sir can i use python plotly instead of powerbi?,True
@anshusingh536,2022-03-24T17:12:13Z,0,Krish sir plz make a detail video of machine learning  plz,True
@LuckyKumar-uk6by,2022-03-24T15:25:37Z,0,Thank you krish 👍,True
@vinaybhushan9327,2022-03-24T14:36:57Z,1,Can you do these kind of videos w.r.t other domains as well?,True
@write2ruby,2022-03-24T14:25:15Z,13,Key Performance Indicators:  Step 1: Define Key Business Goal Step 2: Defining Key Visuals Step 3: Determining the Measurements Step 4: Finalize the KPIs,True
@harshalingutla7318,2022-03-24T13:31:58Z,0,👍🏻👍🏻👍🏻,True
@abhishekjoshi5949,2022-03-24T12:20:35Z,0,Sir please make Tenserflow and Sklearn,True
@seerathgupta,2022-03-24T11:46:18Z,1,What will business Analyst do if KPI definition is figured out by data analyst?,True
@sanketmhatre5167,2022-03-24T11:34:40Z,5,Sir keep live session for data analytic like you made for dara scientist..please sir 🙏🙏🥺,True
@aakashpal0777,2022-03-24T11:26:08Z,1,👍👍👍,True
@ganps87269,2022-03-24T11:24:03Z,3,👍🏻,True
