author,updated_at,like_count,text,public
@davidmills2900,2023-11-09T15:16:44Z,0,onions!,True
@andracoisbored,2023-10-22T02:46:37Z,1,Do the 2023/2024 version of this,True
@abhilashga5734,2023-09-05T13:32:12Z,0,🧅,True
@jessicashorter2860,2023-08-05T23:47:07Z,1,What about environmental industry?,True
@irmaperez3318,2023-03-08T13:28:28Z,0,Onions… love your channel!,True
@muhiston,2022-12-27T01:23:36Z,0,And what about the telecommunication industry for data scientists?,True
@Hotdads1,2022-12-17T17:19:02Z,0,"I know I’m commenting on this a year later but you were wrong about the travel industry specifically regarding short term rentals like Airbnb and VRBO. What happened in regards to travel was people were flying less which means destination vacations like Hawaii or flying across the country were showing a major slow down. Instead, people started looking for great areas that they could drive to and at a reasonable distance. Drive to destinations like The Smoky Mountains in Tennessee, Destin Florida, and Miramar beach and Joshua Tree absolutely exploded. Owners of rentals were seeing the highest rates they’ve ever been able to charge because people just wanted to get away and a lot of the travelers were using their COVID checks to pay for these vacations. That and the increase in remote work allowed people to work and also visit a place they’ve never been to before. Just an observation and as always I love the content and you have inspired me to change my career trajectory to Data Analytics. Once I get a job I’ll donate 1/4 of my first paycheck to you as a massive thank you for the free content you have provided!",True
@Orokusaki1986,2022-10-13T04:56:44Z,0,"Any updates for 2022?  I feel like Agriculture and transportation fit into global supply chain issues, which seems very important right now.  Especially with the geopolitical climate and a fertilizer shortage.",True
@rishabhyadav3935,2022-09-28T15:28:55Z,0,surprisingly.... there is no mention of supply chain industry,True
@Overland__AI,2022-09-18T18:18:56Z,0,I’m assuming the insurance industry falls in the finance heading since insurance is essentially a financial product?,True
@gotechakash,2022-09-15T17:29:26Z,0,WES Analysis takes how many days? I'm from India and Planning to Apply for MS in Data Analytics at San Jose State University in CA for Jan 2023 Intake.,True
@anastasiosvra9024,2022-09-10T14:45:05Z,0,Onions🍴🍴,True
