author,updated_at,like_count,text,public
@Mats-tr8wf,2023-11-29T21:39:49Z,0,what code editor is he using?,True
@datauniverses187,2023-03-13T19:39:46Z,0,repent to the one god,True
@guardianpresencerobotics7776,2022-01-23T17:46:52Z,0,slamming,True
@taba1950,2021-07-29T04:29:49Z,0,"If both routes are missing, turning 90 degrees should fix the mini mini map. But how to measure 90 degrees?",True
@DarkRedman31,2021-07-02T17:55:37Z,0,"7:16 My idea was to do a U turn and check or do incremental 90° turns and checks up to 270 and then fallback to yellow if it fails, so no need to zoom out.",True
@johnhunt1813,2021-05-24T23:31:35Z,0,"All you have to do is add functionality to kill the enemies, and open the map to choose the next location, and I'll be that much closer to beating this game 100%!",True
@jak0bw651,2021-05-14T14:09:07Z,0,WE NEED PART 3,True
@NapoleonNol,2021-05-08T02:12:06Z,0,Am I the only one that can't get cyberpunk to take the inputs?,True
@jakobpcoder,2021-04-27T15:44:07Z,0,more!,True
@Scranny,2021-04-22T06:45:10Z,0,"Regarding the motion detection, it would've been easier to calculate the frame difference on the minimap, not the whole screen. This would therefore be based solely on the motion of the dotted line and ignore any interfering moving objects in the general scene.",True
@kokvis,2021-04-20T10:12:29Z,0,Will there be a follow up video ?,True
@pafnutiytheartist,2021-04-06T10:35:50Z,0,I think shotgun would be best - it's medium range and doesn't require extreme precision.,True
@pafnutiytheartist,2021-04-06T09:58:47Z,0,"I think separating mouse movement into a separate asynchronous process would be best, one process deals with image capture the other with inputs, it'll make movement more fluid and probably will help framerate.",True
@ayushchaudhari5655,2021-03-31T16:29:23Z,0,"Hey Snowden, when are you going to complete the Neural Networks from Scratch series?",True
@simonhradetzky7055,2021-03-16T20:27:44Z,0,"I vote for the Mantis Blades, that would be fun :D Great Videos btw, keep it up my friend",True
@thekingofallblogs,2021-03-15T01:31:10Z,0,Did this project go any further?,True
@ELIYAHUT123,2021-03-11T00:05:17Z,0,Great stuff!! I think sniping the bad guys would be the best solution SNIPER,True
@agianzariskyarbhama8097,2021-03-08T14:46:31Z,1,"hi bro, I've tried using the same code in the previous video tutorial GTA 5. I thought Directx was already updated, and it turns out that you uploaded a new tutorial on a cyber punk game and with the same direct input. but the code does not run on my pc, are the virtual keys code made different for each pc? . can you help me. I am finishing my final project for college. please help me, im from indonesia, thanks ...",True
@datmesay,2021-03-06T18:05:45Z,0,👌🏽,True
@sazan108,2021-03-06T16:37:27Z,0,You are a blessing 🙌 Great job once again 👏,True
@MrImmi34,2021-03-02T19:48:14Z,0,Any idea on when is part 3 landing.,True
@averyuslaner4102,2021-03-01T07:21:02Z,0,Sniper rifle for sure,True
@DevOpsGuy0,2021-02-27T12:54:51Z,1,"Thanks to you sir,I have learned many things from you.",True
@baltazarfernandez9274,2021-02-27T05:52:54Z,0,Amazing channel!!,True
@ricardoczajkowski3593,2021-02-26T22:33:44Z,0,maybe you could use the minimap to check if you are stuck? If the white dots stops then jump!,True
@rylux_,2021-02-26T21:17:43Z,0,"Hello, I saw your text input python tutorial that was made in 2014 I am wondering if you could get user input from a text box you can write in tkinter I am new to python and it would be very helpful if you did this.",True
@pyshine_official,2021-02-26T11:09:29Z,0,Liked it very much! thank you,True
@sudhansubaladas2322,2021-02-22T12:15:19Z,0,"Hi, following your videos from many months. It would be great if you can made tutorials on machine translation domain of natural language processing  using models, algorithm..thank you",True
@ArchiWorldRuS,2021-02-20T19:36:15Z,0,"Is there a way to make an overlay thing like MSI Afterburner or Geforce Experience to draw on top of screen content? I was thinking maybe if you can grab the screen, process it in some way and change the image. Like some image filtering stuff or other heck.",True
@thedeliverguy879,2021-02-20T14:50:34Z,0,Maybe just save the game and use RL from there. Hook the memory and find rewards or penalties from the game itself. Would require some tinkering with the hook but things should get ez from there,True
@cyrusparvereshi6454,2021-02-20T02:22:38Z,0,"Hey Harrison, congratulations on reaching over 1 million subs! It's amazing to see how much your channel has grown. Thank you for your interesting and thorough videos!",True
@1994ramfan,2021-02-19T21:06:24Z,1,"Need to do an update video on your current computer build. Maybe spec out what you have, next best, and solid beginner/intermediate option! I love to see your channel growing",True
@khaoulamansouri2437,2021-02-16T21:14:04Z,0,"Thank you so much, for very beginner in python and machine learning which videos should I watch please?",True
@Amandeep-kx8jl,2021-02-16T14:28:09Z,0,hey man congratulations on 1 million  subs.,True
@bobright1617,2021-02-16T10:15:36Z,2,"Sentdex you the Goat, started 6 years ago learning python on your channel, retired at 33 from the skills i learned here. Will always support.",True
@PABLO-oq1kt,2021-02-15T22:36:41Z,0,Which Python editor sendtex is using and how he run the code ?,True
@thomas6591,2021-02-14T18:41:12Z,0,"Sentdex is cool and all but his discord sucks. Only Indian people in there, and some dude's grandpa likes to accuse people of random stuff.",True
@terrabys,2021-02-13T09:28:53Z,0,I always wandered how would you approach something like this for a game like Dark Souls?,True
@opensourcesabout8128,2021-02-12T11:55:06Z,0,are you a python programmer only?,True
@pranavkrishna.s1127,2021-02-10T02:20:31Z,0,Can you make a video on how to implement private rooms in the chatroom app that you built earlier?,True
