author,updated_at,like_count,text,public
@KenJee_ds,2021-04-02T05:55:35Z,9,"Thanks for watching everyone! I hope you found this video useful 😀. If you liked this, you may like the Ken's Nearest Neighbors Podcast as well: https://www.youtube.com/channel/UCpEJMMRoTIHJ8vG8q_EwqCg A couple fun episodes that were referenced in this video: Alex the Analyst Interview: https://www.youtube.com/watch?v=sQDkFcI74mI&ab_channel=Ken%27sNearestNeighborsPodcast Tina Huang  Interview: https://www.youtube.com/watch?v=vfV4nm004VQ&ab_channel=KenJee",True
@gunjanmeshram2898,2023-11-16T09:29:16Z,0,"I'm looking for skills set,basically I'm from EE core branch i don't have any coding knowledge but I want to go with IT sector but I'm confused from where to start whether is data analytics or data science. I just want to start with entry level job but I really want genuine guide on from where I have to start or which role is better to getting fast job.. and in demand, if anyone reading this text then I'm waiting for your positive response ...from admin too @kenJee_ds",True
@david-eler,2023-08-16T16:03:27Z,0,"I'm currently studying for the Google Data Analytics Professional Certificate. My plan is to start as a Data Analyst, build a strong foundation on coding, maths and statistics, learn ML frameworks such as TensorFlow and OpenCV and eventually transistion into the Computer Vision field as a Data Scientist. Is that a reasonable path to take?",True
@philippmuller2086,2023-08-13T10:30:34Z,1,"what about complex math like linear algebra? This is my biggest problem. I know all algorithms, but do  not understand the mathematical formulas of e.g. support vector machine, principal component analysis etc. only linear regression is easy -.- I can code and use them but feel like an impostor because I cant explain the math behind them. should I switch to another field like software engineering where is less math?",True
@ibaadurahman1943,2023-03-22T13:06:34Z,0,"Waoh!!! Awesome contents, I am having issue with chosen my programming career as a chattered Accountant. Which of Data science or Data analysis or Data engineer would you recommend for me?or which is the best programming language an accountant can leverage on to stand out? Thanks as I anticipate your answer",True
@TexasCoffeeBeans,2023-03-15T17:55:32Z,0,I wish you mentioned the fact that most data science job postings require a master's degree in data science.,True
@nassimaguenaoui3776,2022-08-11T16:51:22Z,1,"Thank you @Ken Jee, that was really helpful for me since I have interest in Data Science but I still did not figure out how to cross the bridge from Data Analyst.  Great input 🙂",True
@Nick-pd2yo,2022-06-30T23:15:39Z,1,Is it even possible to be an analyst with no degree?,True
@parkerbutterfield5967,2022-04-08T07:20:31Z,3,"I’m still in undergraduate computer science, but after I get my degree I’ll get a masters in data science. Do you think transitioning from a data engineer to data scientist is easier than data analyst to data scientist? Or is starting from the analyst side easier to transition?",True
@kitgary,2022-04-05T04:22:39Z,1,So Data Analyst is a low profile job?,True
@TommyEVO3D,2022-02-20T16:01:31Z,1,"Hello Ken, my goal is to become a ML engineer, I had a Bsc in Mathematics with statistic courses and I'm currently learning ML, data analytic and programming from online courses. Do you suggest me to work as an data analyst 1st, then transits to ML engineer; Or just straight doing ML projects and look for ML engineer? Thanks",True
@dbs_jd,2022-01-29T21:17:10Z,1,"Spot on, well said!",True
@sandramariyasiby5586,2021-12-27T08:39:16Z,1,"Hello bro, which is more comfortable job in personal life? Data Scientist or Data Analyst or Cyber Security?",True
@ashyyyk8098,2021-11-20T12:10:46Z,1,Historian to data analyst transition possible?,True
@EK-fs5ms,2021-10-31T20:16:52Z,1,Video saved. Thank you so much.,True
@eggr1ce374,2021-10-09T19:44:05Z,0,"My school doesn’t offer a Master’s for Data Science, but it does for Data analytics. It is nice to know that there is a path from one to the other. Thank you 👍",True
@mohammedislammalki8598,2021-10-01T01:58:50Z,1,"honestly, i really like your topics, and i just feel the objectivity in your talks and the way you explain your topics, again that's really helpful for a lot of people, WISH YOU THE BEST",True
@nadiaz4769,2021-08-11T02:55:24Z,1,Do you think achieving your PCPP certification is an efficient idea in getting a job or what do you think are the best certifications for becoming a data scientist?,True
@pratikmhaske55,2021-08-06T18:11:51Z,1,Can u make a playlist for data analyst.. The roadmap for data analyst..,True
@subimalchopra8805,2021-07-31T01:07:25Z,1,"I am very interested in starting a new career in Data Science in Healthcare and was planning to start my learning journey with 365Data Science, Kaggle, or Dataquest. I have a couple of questions: (i) I have a Healthcare business background and was wondering as to which of the three learning platforms mentioned above would be most suitable for me? (ii) You mentioned a set of projects that every person should complete. However,  which are the projects I should work on in Healthcare to make myself more marketable and where and how can I access these projects?",True
@binksterb,2021-06-18T23:06:16Z,1,Great video Ken 💯,True
@anubhavgoyal3211,2021-06-04T15:20:39Z,2,"My sister is a lead business analyst at citi , is it different from data analyst? I am always confused between these two",True
@leavonfletcher4197,2021-05-29T17:45:14Z,1,"Great info.  It also makes sense that, companies would be happy to let a perrson  they already know have the position, than going outside the company and it is a crapshoot.  Quick question though.  Do you think  getting a data science certification would help make your case in transitioning or is that primarily to help get into the field?",True
@MrKapilsingh,2021-05-17T19:26:32Z,1,Those pull-ups😂😂😂 Great work by the way.,True
@skullcrusher-gw5sx,2021-04-30T12:54:33Z,2,"Hello sir I m a data analyst. But in our company I am using only SAP. only creating vendor, extend and blocking. Can I learn data science.",True
@NotYowBusiness,2021-04-23T14:33:11Z,1,"Hi Ken - new subscriber here. Thank you so much for your words of wisdom. Was wondering if you'd have advice for someone in my situation:   I'm currently a Data Analyst in a social media marketing agency and am looking to do an advanced degree in Data Science. Unfortunately, my non-technical background (I'm a liberal arts major who happens to be good at Math) means that I don't have the prerequisite undergraduate courses needed for Masters degrees in Data Science.  However, I fit the profile of some Masters in Business Analytics/Management Analytics degrees. These courses combine business concepts with coding components, with introductory overviews into ML & AI, but they're not deep, technical specializations. Was wondering if you'd say it would be a relatively smooth journey from a Business Analytics Masters degree to an eventual Data Scientist role?",True
@chandlermercer2250,2021-04-14T03:29:48Z,1,"Hey Ken, love your videos. I am on the path to DS now. I was wondering - do you know any good practice problems / data sets using sports (baseball or basketball preferred) to practice on? Always helps to have something you are interested in!",True
@manhalfamazing00,2021-04-12T17:51:44Z,1,Just found this channel. And I have a dilemma I hope you could help with. I'm in cybersecurity and see how data science is starting to play a large role in threat detection. Can you do a video on that?,True
@adnanbandey5450,2021-04-08T17:01:24Z,1,"Not related to this audio. Do you have a group for all your subscribers where they can interact, discuss doubts and ideas? If not can you make one as you've a huge reach already. Would be really helpful thank you!!",True
@caraziegel7652,2021-04-08T12:33:23Z,1,"Found your video from a linkedin post about a 'beef' between you and Alex . .. and it just made me even more sad about the job I started 3 weeks ago. I was excited to try an actual dev job after being an analyst for a while - and the recruiter said great things about this company.  But wow, now that I'm here?  3 weeks and almost nothing to do, and I'm not at all confident that there WILL be anything to do, at least nothing that is in the least bit interesting or challenging or creative in any way.  Now i want to be an analyst again!",True
@JossimarVicente1,2021-04-07T23:49:49Z,1,Hello Ken! What is the different between bioinformatics and data science?,True
@tlyyang6450,2021-04-06T12:07:06Z,1,"I already have a master degree in Computer Science. I am considering either apply online PhD in Data Science from Northcentral University or online Master in Data Science from University of Michigan on Coursera ? Northcentral university ranked not good among American universities, but it's the only online Data Science PhD in the USA and it only takes 3 and half years to complete. While University of Michigan ranked around 17th among American universities, but I already have a Master degree. Which one would be better for finding data science jobs in USA ? Does ranking matter ? Thanks ! I really appreciate your help !",True
@jameshizon4861,2021-04-06T03:07:34Z,1,"Lol easy...just change the LinkedIn title. 😂  Actually, I am curious on how much time is spent on data pipelines for most data scientists.",True
@christopher-wk,2021-04-05T17:23:47Z,4,As one becoming a data analyst but have regret in the path I'm truly happy that you posted this video! Enrolled the 365 course last week so happy that you mentioned it! Subbed  :D,True
@TinaHuang1,2021-04-05T15:16:45Z,1,Also watching this video again your papayas are rotting. Blasphemy! 😤,True
@muhammadhashir7949,2021-04-05T08:04:44Z,1,Is it good to mention our freelance profile with linkedin and github profile in resume?,True
@williecwy134,2021-04-04T01:37:55Z,1,"Hey Ken Jee, wanted to ask, which will you take out of  1) edx MIT statistics and data science course 2) Google analytics certification course 3) 365 data science course   For a someone from a health care industry trying to make a break into something more data analytic based??",True
@a_vickyp8360,2021-04-03T19:46:00Z,1,"Hey Ken! I miss your videos, and this is great.  Need to get back to #66daysofdata  It’s really fun to see the format of this video, totally awesome and different for the first 66 ones! Great tips!!!",True
@bankybanks3255,2021-04-03T19:39:23Z,2,"Well said Ken. Your delivery is more like a 'think-outside-the-box' than a cookie cutter approach. But since data scientists are not subject matter experts; then, the paradox of shape shifting as analyst or scientist might be the best way to thrive in a job landscape that's always in a flux.",True
@BonusFiddle,2021-04-03T18:19:21Z,1,Just in time for me. Just moved to this role from teaching high school and having other data role goals for the future. Any suggestions for creators that talk about visualization to follow ?  Btw I love papayas too!,True
@TinaHuang1,2021-04-03T14:02:48Z,4,Such a useful video! Love the tips 😍,True
@melikzhu1982,2021-04-03T13:02:39Z,1,"Ken, I'm currently enrolled in a MDS program, while my undergrad was in Business Administration. It's a completely new field for me so I don't have any internship/co-op experience in Data Science at all. I wonder what I can do to land a Data Science job straight out of school?",True
@akarshs9552,2021-04-03T07:42:30Z,0,Which cloud technology help in data analyst job?,True
@owlcatxx,2021-04-03T02:40:58Z,5,"lol not the stock footage of Tina’s pomodoro timer, the one that keeps breaking on her lives 😅 but in all seriousness thank you, very helpful!",True
@datalyfe5386,2021-04-03T02:22:53Z,5,Definitely the biggest and best transition of my career thus far,True
@checkingari,2021-04-03T01:20:06Z,3,"Ken, what is your opinion if someone previously as junior data scientist to senior data analyst?",True
@AlexTheAnalyst,2021-04-03T00:07:02Z,49,Great topic! Not watching it yet so I can record my reaction tonight just in case it’s interesting 😁,True
@jhoneduardo15,2021-04-02T23:59:19Z,3,"Good stuff man.. I am a supply chain analyst kind of data analyst, there is a lot of opportunities for data science on this field, but not too many companies have data scientists. I am teaching my self Python and machine learning, I hope to make the transition to data scientist  one day.",True
@donnelly5757,2021-04-02T22:50:26Z,3,"""Make sure your resume shows the type of value you've been creating at your current company or in your projects."" The latter is all the more reason to not give up hope even if one has a very poor work history with employment gaps.",True
@grav4315,2021-04-02T22:15:48Z,1,Hey man thanks for video. I am considering a career in data science and was thinking about taking a role as a data analyst just to get me started down that path.,True
@AdriaanVanNiekerk,2021-04-02T20:11:14Z,1,Great video Ken 🙌🏻,True
@piyushzope10,2021-04-02T19:45:54Z,3,"Thanks, Ken for this video. Currently, I am looking forward to entering into any data science role so that I can get some work experience.  Which should one prefer first or choose first while applying for entry-level, data engineer or data analyst? As you told in one of your video about different job roles so data engineer comes first so I got this doubt.",True
@rahulahuja1412,2021-04-02T19:23:17Z,1,Looking forward to the podcast.,True
@jeffreyugochukwu1942,2021-04-02T19:11:48Z,5,"Thanks for the great video Ken! This can definitely help me out because I'll be interning as a Data Analyst at the Federal Reserve Bank of San Francisco (tech stack is Python, R, SQL, and Tableau) for econometric modeling and I hope to use your advise for when I transition to either a more senior Data Analyst role past the entry level or even switch to become an actually Data Scientist once I go into industry :'))",True
@Ravit20,2021-04-02T18:40:47Z,3,"This is a fantastic video, Ken. Great tips. Killing it 🙌🏻",True
@aamnasuhail4468,2021-04-02T18:39:26Z,7,"So, what I got from this video is that after college I can start my career as  a Data Analyst too. I won't be hesitating if I'll be offered a Data Analyst role.",True
@yyosted,2021-04-02T18:03:59Z,4,"Cool guide man, Im currently in uni going through a data science undergrad program and although Im learning really technical modeling and visualization tools, we really only apply them in a sanitized, scientific setting. Love the insights on DS in the workforce",True
@bilboswaggins7629,2021-04-02T17:52:49Z,13,"Thank you for this video.  I am currently in a data analyst role, my boss told me the role is primarily for pulling reports, numbers and insights.  After I get everything done, I work on projects involving automation (we have crappy data structures and lots of manual processes), machine learning (specifically trying to forecast client spending numbers) and NLP (I work in a qualitative field so there are a lot of notes, so I used them for sentiment analysis).  I am hoping this will give me a good base to start applying to data science roles.",True
@exshenanigan2333,2021-04-02T17:42:51Z,3,I am trying to become a data scientist (in a specific focus area) and according to this list I can call myself a data scientist working using both R and Python. But I haven't felt comfortable calling myself a scientist before understanding enough statistics to make science. Most people are afraid to spend some time to understand statistics but from an employer point of view it's a big leverage.,True
@tejasphirke3436,2021-04-02T16:22:58Z,2,Great video👍,True
@Ibraheem_ElAnsari,2021-04-02T16:04:48Z,1,Great video production Ken ! Thanks for the tips :),True
@RodStremel,2021-04-02T15:52:53Z,17,"The question is how do I go from unemployed to Data Analyst? :(  Great tips, Ken. Thanks!",True
@harshitamishra807,2021-04-02T15:44:58Z,1,So insightful! Thank you for sharing your valuable knowledge with us. It was really helpful,True
@BM-uf4pp,2021-04-02T14:43:43Z,1,If I can do it then literally anyone can,True
@rolandofranqui288,2021-04-02T14:18:22Z,1,"Great video Ken! Many useful tips here, specially for people trying to break into the space.",True
@loordvamp1re,2021-04-02T14:02:02Z,1,You are doing great work man :D keep going ^^,True
@jamesscouten2966,2021-04-02T13:50:21Z,1,I expected an April 1st video trolling everyone somehow for 5 minutes and instead had to wait 1 more day to get actual useful and entertaining information 🙄.......🤣  Great video as always.,True
@JoelSilva-bs3zz,2021-04-02T13:43:01Z,13,"The timming of this video is on point, just what I needed",True
@rohitrajeev6491,2021-04-02T13:40:56Z,2,"Ken nearest Neighbours. So ""K means Business"".",True
@LukeBarousse,2021-04-02T13:31:53Z,10,"Well, now that I know how to switch to become a Data Scientist, I HAVE TO NOW!   Great insights as always Ken, I meet a lot of people that are interested in becoming a data scientist but don't consider trying out a data analyst first.  It's a great stepping stone to get you set up for success as a data scientist.  Keep up the content!",True
@DataProfessor,2021-04-02T13:22:38Z,6,"Perhaps one of the most important tip for transitioning to data science is to subscribe to Ken's YT channel and KNN podcast 😆The new video angle looks nice, the green dinosaur is very prominent 🦖",True
@shrutijain1628,2021-04-02T13:21:46Z,6,The creativity level when it comes your content is keep increasing . Loving this such a great informative videoo💯🙌,True
@Major_Data,2021-04-02T13:15:22Z,3,"Dude, your video intros crack me up every time.",True
@codingcrashkurse6429,2021-04-02T13:14:16Z,5,"Good that you point out, that a Data Analyst is not inferior to a Data Scientist role. I work in as a Data Scientist in my company, but want to transition into a Data Engineer role, since I don´t really like the math part and want to write more code. You can always listen, a few weeks a product owner in my company said ""Damn our data pipelines crash our systems and we do not have a person who is experienced with spark and nobody is experienced with Scala. Bing bing... opportunity. I decided to do an ""Ultralearning"" challenge and see how much spark and Scala I can learn in 30 days. Lets see if that works out :-).",True
@dharmilshah767,2021-04-02T13:12:13Z,2,First one to comment💫,True
@rikasahriana28,2021-04-02T13:05:19Z,1,Awesome😁,True
