author,updated_at,like_count,text,public
@KenJee_ds,2021-06-23T22:19:37Z,79,So excited to have you be a part of this Josh!!!,True
@alexpowell-perry2233,2021-09-28T15:36:30Z,0,"Hi Josh, can you please do a video explaining how Friedmans H Statistic to measure variable interaction is calculated??? I can't find a clear explanation anywhere!!",True
@menensa,2021-07-31T19:26:27Z,1,"Great idea, I have been asking the same question, didn't know what it was about. I am in",True
@ADESHKUMAR-yz2el,2021-07-29T22:20:34Z,0,only 5 min lol.. it Should be five hours at least,True
@ranitchatterjee5552,2021-07-06T19:12:00Z,2,"""Who is this Ken Jee person?"" made me go ""😭😭😭🤣🤣""",True
@jweivivi,2021-07-01T07:43:28Z,5,"Ah my favourite two channels collab!! I'm working on my course final project this summer as part of this challenge and The 66days playlist is an amazing idea, feel like if there's a day where I want to rewind on my project I could just watch one of the videos!",True
@jjjv.8341,2021-06-30T10:12:02Z,0,Please make videos about Learning Natural language processing. Thanks alot for you,True
@zhenhuahuang291,2021-06-29T01:13:34Z,0,Can you do one ANN using R Keras?,True
@malabikasen2401,2021-06-28T19:58:23Z,1,I have the same Stats Quest Tshirt! 😁,True
@ayoubmohammedessbai7930,2021-06-27T12:37:27Z,0,"hi josh if you can make a video about Markov chain,model thanks",True
@shandou5276,2021-06-27T06:04:44Z,1,Really glad to learn about what 66days challenge is all about through Josh's LinkedIn post (and then here). Having heard about it but only just understood what it is through this video. Another gem discovered. Many thanks! (and yes to nachos!),True
@andrewkrasnopeev9595,2021-06-26T11:06:56Z,0,65daysofstatic band: exist me: what a...?,True
@sniper4627,2021-06-24T20:29:55Z,1,Could you make a tutorial same with Ken?  Data Science Project from scratch but using Rstudio with R language?,True
@johnramos772,2021-06-24T17:07:47Z,1,Thank you for the playlist!,True
@0megal2,2021-06-24T16:43:23Z,1,"Glad to have you on board!!! I'm planning to use this 3er edition of the challenge to get AWS' machine learning certification, let's do it! BAM!",True
@olehsorokin7963,2021-06-24T11:41:07Z,1,Can't wait on videos about all the stuff you've mentioned at 5:13 in this video,True
@rishabh6904,2021-06-24T08:44:22Z,1,OMG you have a Tabla!!!,True
@phoenixnair,2021-06-24T07:04:08Z,2,I see the dataverse forming! Data enthusiasts assemble!!!,True
@Elnono75007,2021-06-24T06:42:47Z,0,I was Wondering if there was any prediction challenge associated to this ? And where can I find them ?  Thank you very much for all your videos and positiveness,True
@harshinimanoharan2424,2021-06-24T06:22:06Z,1,Explain us how to predict the mortality rate of diabetes patients using pima dataset,True
@harshitsati,2021-06-24T02:47:33Z,1,"omg LMAO, ken and josh, epic!",True
@ajha100,2021-06-24T02:24:15Z,2,"Hey Josh, do you play that tabla?",True
@a_vickyp8360,2021-06-24T02:12:02Z,1,This is great!!! #66daysofdata,True
@muhammadsulaiman6,2021-06-24T00:48:19Z,1,So excited❤️❤️,True
@Sawaedo,2021-06-24T00:33:30Z,5,I feel my motivation growing up again... Thanks for the playlist Josh!,True
@Mutual_Information,2021-06-23T23:27:54Z,24,I have a feel this channel inspired A LOT of other stat related channels. The education quality on YouTube is improving!,True
@chaitanyasharma6270,2021-06-23T22:11:17Z,2,such an under rated channel,True
@MrMehrd,2021-06-23T21:46:11Z,1,BAAM!,True
@svenko333,2021-06-23T21:39:43Z,1,"Thank you for creating a 66 day playlist, my exams are finishing in 2 weeks and I was looking where to start with math part of the data science, and seeing now your playlist, I know what I will go through my 66 days of data, thanks again",True
@saurabhpandey1882,2021-06-23T21:14:32Z,1,StatQuest at it's Best BAM!! I am on #100DaysOfAI and #socialPressure adds a push,True
@satyabansahoo1862,2021-06-23T20:58:45Z,1,Josh have tabla 😍,True
@gustavojuantorena,2021-06-23T20:54:51Z,1,Great initiative!,True
@dipanwitasarkar38,2021-06-23T20:54:10Z,1,That intro music tho,True
