author,updated_at,like_count,text,public
@krishnaik06,2024-05-21T09:35:27Z,10,"Hello All, I had recently made a video on Google Gemini Competition. If you are interested participating in the competition with your team and further get my guidance I have created a Discord group for further discussion.Happy Learning!! https://discord.gg/eAHd2qcv",True
@user-kh9ye9zy4k,2024-05-25T17:42:34Z,0,how to use that model in usb?,True
@nasiksami2351,2024-05-21T21:26:19Z,0,Can we finetune our own model and use it locally by uploading the model?,True
@kaviragigudda9488,2024-05-21T16:44:20Z,2,"Hi Krish - thanks for the information, I would appreciate, if you share videos regarding AI journey for people who have more than 15 years of experience.",True
@KartikSharma-uo8ep,2024-05-21T16:42:23Z,0,Sir I want to know that bsc IT is initial to take data science course,True
@avixek,2024-05-21T15:20:04Z,0,you are doing god's work... Thank you!!!,True
@successtiips,2024-05-21T12:56:39Z,0,Anyone Please  Where from I get API?,True
@rajagonda1989,2024-05-21T12:01:44Z,0,How legit it is... Don't you think it is risky.?,True
@__john663,2024-05-21T11:10:18Z,2,"How to use llama3 model in production, In local we have downloaded llama3 8b model. In live how to deploy the model. Please teach me bro❤",True
@avanthikar2608,2024-05-21T11:08:48Z,0,Can you please upload videos on crewai framework to build multi agent systems,True
@supermanish4429,2024-05-21T10:29:16Z,1,"How is it diffrent from using ollama web ui, i recently installed ollama openai ui after watching your video so i'm curious.",True
@rishiraj2548,2024-05-21T10:29:02Z,0,🙏🙂👍,True
@user-gi9sn2mx7i,2024-05-21T10:28:34Z,1,"Sir, could you please create a video tutorial on how to build a chatbot using open-source models and our own custom data?",True
@amarkavibalu1976,2024-05-21T10:25:10Z,0,Hi Krish sir. Good evenings,True
@yaminadjoudi4357,2024-05-21T09:51:28Z,1,Thank you 😊,True
@user-kv3hu6qe6z,2024-05-21T09:42:19Z,0,How is this different from Ollama ?,True
@787ankur,2024-05-21T09:42:02Z,1,Your content is very informative. Thank you so much sir,True
@karravularambabu1775,2024-05-21T09:34:56Z,1,Thank you sir ji ❤ for your wonderful content ☺️,True
