author,updated_at,like_count,text,public
@mareninina9412,2023-09-12T15:44:26Z,0,"impressive, thank you",True
@csaracho2009,2023-08-14T01:27:46Z,1,"""There is only one word to describe this: pretty impressive"" (Two words) (Humans...)",True
@StopWhining491,2023-08-03T23:13:15Z,0,How would it work for SEO?,True
@grumfellow,2023-07-11T17:57:02Z,1,Thanks!,True
@wesleyc.4937,2023-06-19T05:27:31Z,0,"I wasn't interrupted by a network error, I was interrupted by a boatload of ads.",True
@WINCLUBdotCA,2023-06-17T04:15:30Z,0,"Anyone can tell me if that would be the best setup to analyze Roulette spins made by a specific table? Also I'm trying to build the perfect prompt to get GPT to tell me the next number (within 6 chips) using that info, like an algorithm would. I've seen a few built that gives the exact number, but they won't share or sell.",True
@KittyOzzyZiggy3895,2023-06-16T11:46:56Z,1,Love this channel,True
@noteable_io,2023-05-30T16:44:21Z,0,"You should give the Noteable plugin a try, it can do some pretty amazing things.",True
@rolandfisher,2023-05-25T14:52:55Z,0,"""I don't want to pay for it. It has all these limitations, though. The paid version almost eliminates these problems. I still don't want to pay for it.""",True
@noname-zg8lh,2023-05-24T14:52:23Z,0,You need to do a video explaining WHY this isn't valuable enough to pay for!,True
@ronnychernov980,2023-05-24T10:39:40Z,0,Thanks for a great video. How can I analyze big data sets with chatgpt or any other AI engines?,True
@user-uo4rf4ez8c,2023-05-23T20:55:51Z,0,Some of us may have to pivot real quick from BA/DA to something more accommodating..,True
@emmanuelameyaw9735,2023-05-23T00:46:07Z,0,"I don't really believe in paying...really? 😂 Is this youtube channel free...and you make no money from it? How are the creators of chatgpt supposed to make a living? You should say ""I believe in paying but I don't have the money right now"".",True
@user-vh7io8qc8i,2023-05-23T00:21:50Z,0,All examples are for small datasets of a few records. Is it possible to use chat GPT for analysis with a larger dataset of say 500 or 800 records (40 variables); how?,True
@cpbrice,2023-05-22T02:10:52Z,0,"You seem to be more excited with the technology than the results. I have been trying to accomplish one real life common, simple, fiduciary problem. I ran hundreds of variations to get the correct answer.. ChatGPT has yet to come close to solving the problem that I can just look at and solve..   I would have no problem paying for the product, if it worked.",True
@dmicci,2023-05-21T16:10:40Z,0,"Are you serious when you claim that you are actually using ChatGPT for data analysis, or it’s just to make a catchy title for your video? Clearly ChatGPT cannot possibly directly analyze any meaningful sized dataset. You are purely using it for code generation for dummies…. and misleading others about what ChatGPT can actually do for data analysis today.",True
@24-Card,2023-05-20T01:33:54Z,0,Next Gen Hacking - ChatGPT!  I’m looking!,True
@ChrisTian-uw9tq,2023-05-11T08:54:47Z,0,"Pretty much aligned with not just how but also why I use gpt. In a relatively short space of time, I replaced what I used to do with SQL and Excel with Python generated with gpt (no prior python or coding experience). Just like you showed in this example, just that in the end, I made Python files and global functions to run what I ran with the first few data sets I explored. Getting this phase of ETL so quickly implemented, brings the more fun and brain taxing part of working with the resulting data up front in no time at all. Which brings me space and time to keep going with gpt to implement more code to do tasks I need done, formulating them dynamically as I go so they can be reused, which leads me to think that a web based browser is on the horizon, to run my functions based on user inputs instead of me via an IDE. Which of course, one can use gpt for again to try out, build, refactor. In effect, I am building a tool for myself to replace a lot of what I usually find I need to do, just to get me somewhere where the real work of solution building begins, but with a tool box of data exploded from source data. And it seems no sign at all ahead, of what gpt and python can't help me with. It just today advised that for the next step of my actions (formulating structured data points from unstructured comment fields) that with Python I can utilize X, Y, Z libraries in A, B, C steps to approach my task. What is stunning is that you can ask gpt to do a task for you, like write some sql code - but you can then ask it to give you the python code it used to output the sql code to me, so that I can make a function and not have to come back to gpt again for the same ask. I don't give gpt any data - just tasks and examples. It would be fantastic to have a gpt on my local machine, with access to UI commands like I do, through keyboard and mouse referencing - to action these actions, to save files, write files, run queries... I don't really like the idea that any of my true code and data and use case, is sent to OpenAI however - for sure they must have an gpt like model reviewing all user inputs and gpt outputs and clustering on content and use per user interaction with gpt, anything we share is somehow also in their awareness and so customer data, is a no no to use on the platform but also I am concerned how long we will have free access to what we currently have access to. OpenAI know what I use gpt for, whats to say it sees that so many of us are doing similar that they don't pursue the +plus model for coding specific and thats then accessible only through paying... Its a fantastic tool, just the future looks very foggy to me as to where and how this will go.",True
@michamohe,2023-05-09T13:20:51Z,0,"if you tell chat-gpt what version of the programming language you are using it will give you better answers, otherwise it is trying to figure it out through context clues either in your code or from your conversation",True
@hrungnir00008psp,2023-05-09T13:18:18Z,0,"For ChatGPT, profit equals revenue?",True
@pn4075,2023-05-08T02:52:23Z,0,"For people watching this before starting their data analysis journey - NO this will not make much sense. Yes, learning basics of of data analysis, python, SQL, etc. is required to know the jargons/language of how to word your prompts. Alex has provided some certifications in the desription to get started.",True
@henrifortier8621,2023-05-08T00:34:55Z,0,noob question here but if its already possible what about in 3 years ? will data analysts jobs all obscelete ?? thanks !,True
@havokgames8297,2023-05-07T22:47:39Z,0,"00:02:18 ""I don't really believe in paying"". Huh?",True
