author,updated_at,like_count,text,public
@aditiverma9889,2024-04-09T18:22:19Z,0,"Hi @krishnaik06, can you please create a playlist to implement A/B testing from scratch using Python? A marketing related scenario will be ideal as it is something we Data Scientist use everyday",True
@shivanishah1612,2024-03-08T04:48:46Z,0,"Hi Krish, I watch your almost all videos. As you mentioned, Can you provide spring board india youtube channel because what you provided in description, its not working.",True
@abhishekprasar8711,2024-01-29T05:42:14Z,1,"This is the irony.People putting useless content on youtube cross 1M in sort span,whereas kris is putting his hard effort from long time but yet to cross 1M.I know how much effort it takes.I being in a director in AI field can give all my kuddos to Krish for making such wonderful videos and guiding candidates.Please do listen him and share his hard work",True
@sheikhshah2593,2023-07-30T19:00:37Z,0,nice,True
@talentzunlimited1398,2023-05-17T09:37:05Z,0,Nicely explained !!!,True
@ashwiny2k05,2023-02-26T20:17:31Z,0,"Hi Krish,It would be great if you can post a detailed video on AB testing process for a specfic real time scenario.",True
@lekramsende8314,2022-12-29T03:35:28Z,0,We can say samples from population.?,True
@senthurpandian1415,2022-03-15T13:39:02Z,0,This is not A/B Testing and whatever you are telling is not the AB testing of a data scientist.,True
@pratyushsharma4789,2022-01-22T17:18:41Z,1,"Bro, AB testing ka explanation kidhar hai ? Recommendation scheme thodi na samjhana tha!",True
@dataawesome6373,2021-10-04T13:41:19Z,0,nice krish,True
@bommadiuday1958,2021-09-23T13:02:27Z,0,Expected more from you,True
@PankajSingh-qc5mq,2021-08-13T11:17:27Z,2,you stretched just definition for 6 minutes. Nothing else than a simple definition. So repeatative.,True
@bizdep6237,2021-08-02T20:32:12Z,0,"Hi Krish, could A/B testing be used in the scenario where there is an existing model deployed in the production already but it needs to be replaced by another model. If yes, what metrics shall we look for when we compare the performance of the two models? Can you provide a code snippet to explain the same.",True
@androidsoham,2021-06-26T19:05:01Z,16,"In my 5 year experience as a Business Analyst I have never heard A to B testing! In industry we call it AB testing, just to confirm!",True
@maheshv4736,2021-05-30T12:25:40Z,0,Great job.... Sir,True
@senthilnathanperiasami102,2020-10-02T09:22:52Z,0,You make the topic easier to understand,True
@prasadgaikwad3462,2020-06-20T07:09:26Z,0,Sir i have query if test size we change and also random_state also we change then accuracy is change then how we predict that the model is correct or not??,True
@tramesh3educo,2020-06-10T18:17:01Z,2,nice to see your video as we know other in Sapient. Really loved AB testing tutorials shared.,True
@soumyasaswati2927,2020-05-14T17:42:40Z,0,Nice,True
@muzammil2587,2020-01-10T05:10:55Z,1,Damn... learnt a lot from this.,True
@Raja-tt4ll,2019-11-27T12:53:33Z,0,Very nice video,True
@shivakrishnareddy5855,2019-11-26T12:30:24Z,0,"Sir can ""Data Protection Act"" can effect the jobs in data science",True
@gurinderpartapsingh8694,2019-11-26T12:08:14Z,0,Hello Krish sir....sir Please make a playlists on Re-inforcement learning.....????Plse sir reply back sir....u teach very good ....so that's why I'm requesting to u....,True
@akhilrapalli4118,2019-11-25T14:34:40Z,2,Hi krish nice video can we use different ml algorithms to engance the A/B TEST. when can we get the dataset to implement and deploy? U started a course ?,True
@SunilKumar_67,2019-11-25T13:44:13Z,12,"Krish bro, thanks for your videos. Can you please share some links that contains python codes for conducting A/B Testing in practical problems",True
@JainmiahSk,2019-11-25T13:16:35Z,3,Krish bro I want to join the course whom should I contact. Please reply 💛💚💙,True
@saishnaik139,2019-11-25T12:57:31Z,4,Can Data scientist work as a freelancer or work from home?,True
