author,updated_at,like_count,text,public
@tcgvsocg1458,2021-03-17T15:23:07Z,0,Sound really bad explaination really but...your only one to do this so...,True
@XXXCitizenX,2021-01-28T19:37:39Z,0,"Is there a reason why its ""ascii"" and not 'ascii' ?",True
@ShermanSitter,2020-10-16T05:00:57Z,0,"""It's pee pee .net for the cool kids"" ...that is why we love this guy.  :)",True
@angelally_,2020-06-02T11:00:53Z,1,To fix your error I think there should be written:  resp = requests.request.get(url),True
@jeetshah8513,2020-04-13T18:45:40Z,0,Does p.map by default have start() and join()???,True
@jeetshah8513,2020-04-13T18:37:35Z,0,Hey pls reply for this How will you use multipleprocessing for each function in a(b(x))?? Also like for a(b(c(x))) like making each function too fast.??? Pls help!!!!,True
@norrow7047,2020-01-16T12:57:44Z,0,list comprehension should be renamed to list incomprehensibles,True
@AB-sq6cu,2019-12-16T15:53:28Z,0,Hey I got Couldn't find a tree builder with the features you requested:lxml error  How to solve it??,True
@lukexu4845,2019-11-21T01:52:40Z,0,Surely if you just hop onto random sites you're gonna get a virus,True
@dsinghr,2019-09-18T14:30:20Z,0,why would you not use an IDE. Code editors such as they don't auto complete properly and this thing that you are using looks prehistoric,True
@vaastavmishra2035,2019-07-20T18:12:00Z,0,"when I am Running  the program first it says 'NoneType' object has no attribute 'startswith' likely got none for links, so we are throwing this. Then it shows a lot of errors and it is collecting no links.Please help Sir.",True
@wholehorse5827,2019-07-12T17:42:31Z,1,Dang can't a web spider like this used to maybe corrupt other websites?!,True
@imrul66,2018-11-07T08:17:28Z,1,data = [url for url_list in data for url in url_list]  TypeError: 'NoneType' object is not iterable  help please!,True
@morphman86,2018-10-10T18:45:42Z,0,"You may wanna store the link in the process itself, instead of when all the processes are done. And also check that archive when starting a process, to make sure you have not already crawled it. Otherwise, it's an excellent beginning scraping script.",True
@AkhilesFish,2018-10-05T08:59:48Z,0,"Hi. I have abt 20K pages to parse. How to enumerate jobs done, or how to estimate remaining  jobs using Pool?",True
@MindaugasV,2018-09-08T11:54:12Z,0,Great explanation. KISS principle.,True
@jaden-ik6ti,2018-08-31T18:43:42Z,0,can you get malware from this,True
@mischajohal5604,2018-08-10T18:49:19Z,1,"When I try to write to the urls.txt file, the only thing in there comes up as [ ] (an empty list). Why is this happening, and what can I do to fix it?",True
@kasheeshprabhudesai8996,2018-07-30T06:51:33Z,0,Invalid URL 'None': No schema supplied. Perhaps you meant http://None?,True
@MrNaesme,2018-07-12T16:11:15Z,0,"Dang it, my spider tried buying a bunch of Cisco routers.... >:/",True
@TheMku23,2018-07-10T18:00:06Z,0,I keep getting this error  Invalid URL '<function random_starting_url at 0x104581e18>': No schema supplied. Perhaps you meant http://<function random_starting_url at 0x104581e18>?,True
@Jeacom,2018-06-06T02:03:06Z,0,He doesnt knows what's mawarebytes? that antivirus we try when avast fails.,True
@budhathokibijaya6636,2018-03-22T08:49:27Z,1,"why ascii encoding is needed, i thought nowdays we only use unicode(utf-8)",True
@arlenalem,2018-02-11T12:01:34Z,0,"HI, Thanks for all you  great videos, Here my questions , I'm  using  multiprocces, Process A to read data by serial  port from a gyrocope sensor (the data is coming constantly)  and and another process ""B"" in order to read received data from module  sensor magnetometer (the data is coming constantly) , till now i have two process, and I'm thinking to have one more process C, which will use the data from gyroscope and magnetometer and make some operations, what could be the best way to  implement a shared data (like FIFO) which will be filled by A and B process, and this shared data will read by process C. I hope someone can help, I would appreciate your  comments and suggestions and shared experience.",True
@luckyluuk8788,2017-12-03T18:48:46Z,0,"My computer said there existed no urls.txt file, so I went back to the write tutorial and found out I had to add f.close() in the with statement. After that, it works!",True
@shandatecrisovet,2017-08-14T11:24:30Z,1,"pls help , the program wont run after midway, likes it stops running after showing few exceptions",True
@dude2260,2017-08-06T17:22:48Z,2,data = [url for url_list in data for url in url_list] TypeError: 'NoneType' object is not iterable   Getting this error,True
@srisu8946,2017-07-07T03:22:48Z,1,also how do you open up url.txt in windows os?,True
@srisu8946,2017-07-07T03:19:33Z,0,"in the url.txt, i'm pretty sure the very last url in the document in not a 3 letter url....",True
@cupajoesir,2017-06-09T20:05:56Z,0,1st random url is http://cdw.com a major distributor ... hahaha ... i know i know all three letter urls are taken... but still ...,True
@fastundercoverkitgoogle7381,2017-06-07T13:11:59Z,32,"Here I was, one video away from the OOP tutorials and you pulled me into the rabbit hole of the bs4 mini-series Damn you, sentdex",True
