author,updated_at,like_count,text,public
@vijaykumbhar1657,2022-08-15T18:57:04Z,0,sir i need ur help plz help me for this recently i join course from simplilearn course name Data scientist Job guartee programe but now i am confused tht this course is real or fruad i will get 100%job or not plz sir i want suggestion from you,True
@revanthbhuvanagiri9177,2022-08-14T15:57:22Z,0,Thanks sir👌👌,True
@dikshantgupta5539,2022-08-10T17:44:10Z,0,Can you please complete the NLP live videos?,True
@rohanchoudhary4034,2022-08-10T16:37:40Z,0,So we should not go for DSA course on ineuron?,True
@good114,2022-08-10T15:19:13Z,1,❤️❤️💕💕,True
@muhammadzakiahmad8069,2022-08-10T09:32:51Z,0,Sir aik hi dil ha kitni baar jeetan ga❤.,True
@gurshersinghsandhu6809,2022-08-09T20:05:05Z,0,"eager for  this one to continue , 1 st round if done with confidence always boosts a stronger vision",True
@vinayakram5133,2022-08-09T18:09:15Z,0,"Sir , Upcoming DSA online course in one neuron will be avaliable for tech neuron subscribers ?",True
@manavbhatt3169,2022-08-09T17:59:34Z,0,Thanks alot krish sir from last two years i was struggling to learn dsa with python i just know one lang that is python Thanks alot krish sir,True
@sandipansarkar9211,2022-08-09T17:50:43Z,0,finished watching,True
@sathyamanikanta2784,2022-08-09T17:21:28Z,0,Y the hell... This channel doesn't have 1M subs...even though it deserves much more than that  nn,True
@tanujkumar3055,2022-08-09T16:24:15Z,1,priya bhatia's DSA playlist was too good ..so deep explanation  #onenueron👌,True
@saurabhbarasiya4721,2022-08-09T15:57:34Z,0,Please make a separate playlist,True
@geekyprogrammer4831,2022-08-09T15:35:53Z,1,"What about Natural Language Processing? Is the list completed? If not, please complete NLP playlist",True
@kabyabasu,2022-08-09T15:08:45Z,0,"Sir ji, Please finish the NLP community classes",True
@shivrajjoshi5031,2022-08-09T14:46:15Z,0,"Hi Krish, can you please make video on real time ml model testing means after saving the our model loading it and giving some new data to it through some CSV or othe file",True
@codebond,2022-08-09T14:11:49Z,0,Please upload more videos on nlp playlist its still hanging in the middle. Please help,True
@bp2807,2022-08-09T13:44:38Z,0,Krish sir when will the next batch of full stack data science start? Also can a non  btech person join it and switch to data science?,True
@_IT_Jason,2022-08-09T13:31:37Z,0,Please teach backtracking too which is very important if you can in forth coming days…,True
@kartikkalyani9340,2022-08-09T13:30:07Z,0,Sir please also try DSA in hindi too.,True
@mithunmahato309,2022-08-09T13:15:41Z,2,I am from non-CSE background  plz make DSA tutorial videoes as a layman can learn,True
@raam,2022-08-09T13:11:33Z,0,With python,True
@kapilsharma-bi7im,2022-08-09T13:10:18Z,2,Pls complete NLP playlist also krish. Transformers and BERT is still pending.,True
@prudhvivardhan,2022-08-09T12:55:53Z,0,Respect 👏,True
@sandipanganguly6430,2022-08-09T12:52:38Z,1,For questions please solve leetcode or geeks for geeks easy medium hard level questions so that we know the concept and understand how to approach a certain problem if it is not practiced previously,True
@siddhantkohli3362,2022-08-09T12:48:47Z,2,Best channel I have came across regarding data science prep.  I hope to see you as soon Sir. May god bless you,True
@ankitsah4971,2022-08-09T12:48:18Z,0,Thanks alot sir❤🙏,True
@vish183,2022-08-09T12:43:12Z,1,Awesome. Much needed,True
@Luckypapa01,2022-08-09T12:34:21Z,11,This guy is legend trust me follow this guy with eyes closed and you will learn a lot from his lectures,True
@xXMaDGaMeR,2022-08-09T12:34:16Z,0,you are amazing brother appreciate you,True
@vinayakram5133,2022-08-09T12:32:47Z,1,Whether Aptitude and reasoning  needed for product based companies?,True
@c.nbhaskar4718,2022-08-09T12:31:09Z,0,"hi krish , request you to complete DSA in  one month",True
@ankitadeshpande2447,2022-08-09T12:28:38Z,1,Hello krish can u make recommendations ngine playlist for other dataset apart from movies and books its very helpful for me,True
@kannadastocktrader3369,2022-08-09T12:28:34Z,0,Waiting sir,True
@sachinkr9764,2022-08-09T12:26:43Z,0,Thanks lot sir,True
@ruscul7155,2022-08-09T12:25:49Z,0,"Hi sir, i know this is unrelated to the video but i want to ask what is equivalent of “cell” from matlab to python??? That syntax/command is very handy especially mathematics student or even deep learning. or if there is none, how can i make something like that in python. Thanks!",True
@vinayakram5133,2022-08-09T12:24:58Z,0,Waiting sir 💫👏..,True
