author,updated_at,like_count,text,public
@krishnaik06,2023-03-08T20:46:16Z,11,"Join this channel membership to get access to materials and connect with me: https://www.youtube.com/channel/UCNU_lfiiWBdtULKOw6X0Dig/join",True
@manar4944,2024-05-22T06:47:01Z,0,"That's super great work, it really helped me. But i'm surprised that you've done columns transformation ""Standard Scaler"" before splitting the train/test sets, most articles said it will result in data leakage, can you please elaborate",True
@shruthakeerthipurushothkum2724,2024-05-04T13:23:42Z,0,"hi @krishnaik06 , can you kindly show how did you work with jupyter in vscode , i mean did you do the eda in jupyter notebook and then converted to vscode ..",True
@mayankamble2588,2024-05-01T06:08:58Z,0,Amazing Playlist. Learning alot. One point on transformation: Standard scalar should be applied separately on training and then use that scaler to transform the test data. This way there wont be any data leakage in the testing set.,True
@abubakarsaddiq4098,2024-04-24T14:55:03Z,0,stuning,True
@user-mx9vx7ji1u,2024-04-04T10:08:40Z,0,female are always good in marks,True
@AmbarGharat,2024-03-28T17:38:53Z,0,Can anyone explain why did not we apply StandardScaler to cat_columns after performing OneHotEncoding on them??,True
@karanbais1843,2024-03-21T10:14:58Z,0,loving the playlist sir thank you for it,True
@aravinda1595,2024-03-20T08:45:06Z,0,Sir amazing video btw  Boys have performed really well in MATHSSS,True
@aishwaryaumare4985,2024-03-12T14:38:32Z,0,How did u enter that csv dataset,True
@KunalSingh-fy1bk,2024-03-10T10:15:32Z,0,"bro your eda notebook have lots of errors and , i tried solving them ( i am new to data science) and i did resolve most of them, still bivarite analysis aint working , please update and fix the issue, its hard to understand it with errors , coz we cant see the output.   @ Krish Naik",True
@jaysamirhegshetye5660,2024-02-27T11:36:59Z,0,I really wanted to do a ML project where I can utilize all ML algorithms on single dataset. I find this playlist best for my  project. Thank you a lot  krish sir for making this informative and instructive tutorial !!!,True
@apurvtewari3779,2024-02-21T02:50:18Z,0,What this entire project be described as to mention in my resume as a fresher.  Help will be appreciated all. :),True
@ramkisundararaman3711,2024-02-09T00:26:59Z,1,Krish - You are awesome as always. I was out of the market for more than a year and now getting back to Data Science and your videos are helping me refresh my skills. Thanks,True
@bilelkhelifi897,2024-02-04T11:47:11Z,1,"Best Playlist and channel i ve ever seen, THANK YOU SO MUCH KRISH",True
@ransinghray3688,2024-02-02T11:42:21Z,0,"Krish you are really redefining the tech educational system, you are awesome!!",True
@list10001,2024-01-31T19:42:18Z,0,Thank you for the valuable tutorials.,True
@sudhirmalik100,2024-01-04T20:21:22Z,3,I think there is one improvement required here which is we should split data first then do fit_transform on training data and then transform data on test set.,True
@mdthom39,2023-12-10T01:21:22Z,0,"I know project a few month old but when i'm trying to run notebook the first setup i get No Module name 'numpy', i have checked my requirements and its all there not sure what going on.",True
@nikhildoye9671,2023-12-06T21:07:05Z,1,Shouldn't we split the data first and then apply transformation? Won't this lead to data leakage?,True
@user-mn1kz9gx4f,2023-11-19T18:00:51Z,0,please guide me,True
@user-mn1kz9gx4f,2023-11-19T18:00:26Z,1,how I can add notebook folder..? you did'nt tell about notebook and csv.,True
@ahmedullahkhan9166,2023-10-17T22:36:18Z,0,"this line of code giving error  gender_group = df.groupby('gender').mean() gender_group",True
@tatakae6666,2023-10-14T16:13:15Z,1,This series is absolute gold,True
@utkarshapadhye7656,2023-10-07T15:03:52Z,2,"I am getting packages not found in vcode , though I followed all the steps from start and also in my global env all packages are installed.",True
@khirooo,2023-10-02T23:10:59Z,5,"Hi Sensei, I am following your projects and every detail, and I am very thankful for your valuable content. but I think I found a code mistake at EDA part. <<gender_group = df.groupby('gender').mean() gender_group>>  with this new code : <<gender_group = df.set_index('gender').groupby(level=0)[['math_score','reading_score','writing_score','average']].agg('mean')>>    works well .... regards",True
@Alsoltt,2023-09-29T06:15:11Z,0,Thanks!,True
@royalchallengersbangalore535,2023-09-17T04:30:03Z,0,your teaching is like ❤❤,True
@9939364566,2023-09-13T09:23:05Z,0,Good Stuff ✌,True
@maximilianlossl226,2023-08-30T16:26:16Z,1,"Sorry, but I really don't understand how to get the data and jupyter files into my Visual Studio Code, can you help me?",True
@feras6471,2023-08-30T12:21:03Z,0,Thanks,True
@brightlyricsmusic,2023-08-26T12:23:01Z,0,i am getting error while reading dataset using relative path can someone help,True
@user-zu9kc3lx1t,2023-08-23T06:33:12Z,1,"Hi, How are we importing the data of the csv file into VS ?",True
@krislai7453,2023-08-21T19:04:31Z,0,"why is that when i tried to import library it says ""no module named 'numpy'",True
@umerfarooq-ck3qn,2023-08-20T06:27:13Z,0,"Hello Sir , thank you so much for this playlist. Here getting an error : ValueError: A given column is not a column of the dataframe while executing 'X = preprocessor.fit_transform(X)' , even i have done with X = df.drop('reading_score',axis=1) . Please help",True
@user-nx6ib3tv7b,2023-08-13T14:16:17Z,3,Hey Krish i have all my libraries such as numpy but when i try to run it through the ipy kernal it shows numpy not found,True
@karth33k,2023-08-11T05:42:06Z,0,the whole EDA notebook has errors. whoever has done it...has done shit i had to resolve cell by cell ...worst delivery quality,True
@priyankahoude7701,2023-08-05T13:31:17Z,0,sir dataset link?,True
@malikbasitmaqsood,2023-08-03T00:20:27Z,0,To remove the Duplicate Row and keep the first Row from all Duplicate Rows:   df_unique = df.drop_duplicates(),True
@hm2715,2023-08-02T03:14:23Z,0,20:11 😂😂😂😂😂,True
@thatsgame7480,2023-07-28T08:29:50Z,0,"I have become mad after again and again setting up the environment,since even after installing all of the libraries but running the code it says that library is not there.",True
@nicoleiva5498,2023-07-20T20:32:58Z,0,"Hi, if I donate ""Join this channel"" option. Do I have access to more end to end projects like this one? Thanks",True
@anirudhkhandelwal5751,2023-07-17T17:14:35Z,0,"When I am trying to log the exception division by zero. it is showing this error: Traceback (most recent call last):   File ""src/exception.py"", line 3, in <module>     from src.logger import logging ModuleNotFoundError: No module named 'src'  Can someone help? Thank you!",True
@rupindersingh1312,2023-07-10T09:28:23Z,1,thanks for this video 10-07-2023,True
@abhijeetjain8228,2023-06-29T21:58:20Z,0,Thanks a lot Sir,True
@hm2715,2023-06-10T10:09:11Z,0,done,True
@aslanali9977,2023-06-09T10:12:44Z,2,Thanks!,True
@opman5657,2023-06-01T09:41:30Z,1,very well explained and good job for learners like me. Thanks. Gob bless you,True
@Mery._.11111,2023-05-25T13:39:58Z,0,Thank you so much !,True
@user-wm5yf3le7t,2023-05-18T12:57:11Z,0,How this notebook file created?,True
@surajpandey-er4nt,2023-05-07T18:45:18Z,1,"Hi Krish, just a small doubt I am facing an issue with installing everything through requirements.txt instead I had to install everything separately. what could be the issue here?",True
@r.ranjankumar2106,2023-04-28T11:21:31Z,0,Im facing Module not found error even after creating the enviornment. Any help me how to fix this,True
@r.ranjankumar2106,2023-04-28T09:29:20Z,0,"I have a doubt that how to add notebook ,data folders in git. I am unable to do it . Can Anyone help me to get out this problem??",True
@asieharati,2023-04-27T22:48:16Z,1,You should't do the preprocessing on X. You should fit to X_train and fit_transform on X_test,True
@sudeepmathur9654,2023-04-24T04:19:37Z,1,"Excellent video . I retired recently & just thought to keep myself engaged by learning new things , saw your video & found it very useful.  Keep it up & best wishes for  all the hard work you are doing in spreading knowledge.  -- Sudeep Mathur",True
@shalakam1617,2023-04-21T20:28:06Z,0,Thank You for series,True
@shalakam1617,2023-04-21T19:48:36Z,0,Thanks for this series,True
