author,updated_at,like_count,text,public
@kishorlakkad5846,2023-10-28T05:24:24Z,0,Getting some error.  Is there any dependencies required? It windows machine,True
@abhishekkanojia2816,2023-05-31T04:38:47Z,0,,True
@mgaf7864,2023-05-27T09:50:13Z,0,Unable to install pycaret It showing error,True
@mrityunjaysingh8171,2022-08-25T16:51:37Z,1,Can we use pycarat for image dataset,True
@parthasarathisubramanian2539,2021-12-01T13:34:51Z,0,Can someone give the link for continuity of this video?,True
@jijadasgupta7991,2021-11-18T13:49:16Z,0,can i do deeplearning model here?,True
@theactingminds,2021-05-24T12:11:28Z,0,"The installation is getting failed, can you help?",True
@himanikhurana6656,2020-12-26T09:24:45Z,0,compare_models not working in case of regression. It just starts and shows blank output . Anyone facing same issue?,True
@zaheerbeg4810,2020-10-01T11:29:14Z,0,Can we use pycaret to detect tables within images? Kindly reply anyone,True
@sairaghavendraadityagundu5763,2020-08-28T07:43:43Z,0,"Hi Krish, I am parallely executing the steps along with video - For Classification - your best model seems to be Ridge Classifier while it was Logisitic Regression for me - why do we have that difference  eventhough we use same datasets ?",True
@SpellboundHaven,2020-08-23T23:11:03Z,0,"Guys, Please do a video on the Story of a person without a degree become Data Scientist. I don't care whether it is a Successful one or not.",True
@sajidchoudhary1165,2020-08-22T09:20:05Z,0,"Sir Please makes video on Mathematics behind on  SVM Regression, AdaBoost Regression, Gradient Boost Classification",True
@rohangt1591,2020-08-12T16:58:35Z,0,"27:00 Kabir is right. 'Number of times pregnant' is supposed to be ordinal. Ordinal variables don't need to be correlated to the target variable like you said. They are simply categorical variables that have an order to them (eg. rating, week number) and could be a simple count variable like in this case",True
@rahulkharatmol711,2020-08-06T17:31:25Z,0,SystemExit: (Type Error): The behavior of tune_model in version 1.0.1 is changed. Please pass trained model object.   this error i got after tune model what i do,True
@cdhanunjay5497,2020-07-27T11:50:46Z,3,"Sir, is it 100% necessary to make all the dependent variable to be normally distributed ?",True
@maheshpathak7105,2020-07-27T09:11:13Z,1,Sir i have seen playlist data science with python👍  could you merge those session in one video,True
@mattmatt245,2020-07-26T22:52:11Z,2,Is there a way to plot a lift/gain chart with Pycaret ?,True
@MaheshWaranpr,2020-07-26T17:40:46Z,1,I am using the pycharrm community version. I am not getting any methods recommendation example reg_model.predit() like you are getting in jypter notebook. Can you please guide me how to get these recommendations.,True
