author,updated_at,like_count,text,public
@krishnaik06,2022-09-25T13:56:37Z,8,"I hope you liked this video..hit Like and comment if you liked it. Learn from ineuron and excel in your life :) Check out the Data Science Industry Readfy Projects  https://bit.ly/3DY2hqj Start Date 24th September Timing: 10am-1pm Instructors: Krish Naik,Sudhanshu,Avnish,Ketan",True
@laxminarayangaidhane7063,2023-01-15T08:35:19Z,0,Hi krish I have buy this industry ready projects but I am not finding this lectures,True
@akshat.pratap.singh.chauhan,2022-12-13T20:20:47Z,0,I have apple macbook pro mid 2012 with 512 gb sad and 16 gb ram. Is it good for databscience and ml,True
@patelheet2080,2022-10-24T13:07:48Z,0,Sir please continue NLP playlist,True
@rahul2506,2022-10-01T05:07:24Z,0,"Krish sir, pls I request u to add videos of this course to tech neuron",True
@suraj9249,2022-09-29T19:32:18Z,0,Hello sir aapke courses k price thode km kro ...plzz🙏,True
@ziadullah8199,2022-09-27T04:04:56Z,2,@Krish Naik this course recording not added yet in tech neuron please add it.,True
@zoomyzn,2022-09-26T19:21:11Z,0,"Hi, Im from Mexico. Can I join your programs an be part of an internship? Thanks.",True
@arjunsonar6907,2022-09-26T18:52:27Z,0,"Is there any other way I can get the full video. I really like the way you explain Sir, although I am not able to join the course.  It will be very helpful if there is any ways to see the full video.  And please try to come up with more such videos Sir.",True
@Highway_Walker_yogi,2022-09-26T10:34:39Z,0,"hello sir, actually I'm degree drop out from 2015 now the don't have this syllabus, that's way i cant complete my degree there is any chance for me to get job",True
@rahul2506,2022-09-26T09:49:53Z,2,"Sir the recorded videos are not yet uploaded on tech neuron. Pls update it, earlier it was told that all upcoming live courses will be available but now devops as well as this course are not uploaded",True
@Ahmed_Rabie1,2022-09-26T07:36:13Z,0,"Hi chris, I want to join this course but I have a question Is there any problem if I do not speak English well but I understand English very well?",True
@mohanreddy9168,2022-09-25T23:16:37Z,3,"Hi Krish,is this recorded videos of course added in one neuron platform",True
@gururajkumarmali,2022-09-25T19:40:08Z,0,Today is 26th September.,True
@preetgarach9424,2022-09-25T18:13:09Z,0,"Hello Sir, I have knowledge of Machine Learning and python, but unaware of the tools used for MLOps like docker, API, cloud, etc.  are these prequisites for this course?",True
@yongzeal,2022-09-25T16:53:59Z,0,For who this course is for? I am a Project Manager wants to move into Data Science Project/Product Management.,True
@sakshibansal3155,2022-09-25T16:31:06Z,3,Hi Krish Sir.. will this course be added into one neuron?,True
@akyt67,2022-09-25T15:45:17Z,7,Anyone who is willing or going to take this course?,True
@saladahmednur5189,2022-09-25T15:31:22Z,0,"Sir the session was amazing , thanks  But if someone doesn't have any knowledge on python and machine learning can he enroll this course?",True
@yuvashakti7848,2022-09-25T15:18:45Z,0,Krishna I am copmleted microbiology my 12 percentage only 49.85 I am eligible or not for data science courses,True
@ksa255,2022-09-25T15:00:24Z,1,"Hello Krish . Thanks for the amazing session as usual . I am a Certified Scrum Master (CSM) .,basically developing products thru Agile and Scrum processes . Do you think I should join the course to transition into the Data Science field ? Also ,I am currently working in - ESG(Environmental ,Social and Governance) industry  , so is any data science project hand-holding is possible?\  Thanks & Regards.",True
@yujian3814,2022-09-25T14:54:15Z,0,Attended this session.. Awesome!!✌️,True
@shris5292,2022-09-25T14:07:13Z,3,Hi Krish.  I attended the session and it was really amazing and very useful. Hearty Thanks and Keep Rocking👍👍,True
@ariseawake3437,2022-09-25T14:03:33Z,0,Awesome,True
