author,updated_at,like_count,text,public
@SajviVibes,2024-05-27T01:28:45Z,0,Thanks Krish for valuable information,True
@ilovearr,2024-05-20T23:53:31Z,0,"Sorry, completely off-topic. Which note taking app is it ?",True
@SubashEE-PSubash,2024-05-19T06:25:07Z,1,"What are those project(RAG, Q&A, Fine tuning) , Can anyone explain ? Does it a web development based project ?",True
@SubashEE-PSubash,2024-05-19T06:24:59Z,0,"What are those project(RAG, Q&A, Fine tuning) , Can anyone explain ?",True
@ahr9263,2024-05-17T12:04:26Z,3,"00:02 Prerequisites for mastering generative AI 01:52 Python and statistics are essential prerequisites for mastering generative AI 03:49 Understanding text embeddings is crucial for mastering generative AI 05:38 Master Generative AI requires understanding key frameworks and concepts 07:38 Frameworks help to work with various llm models 09:41 Key things to master for Generative AI in 2024 11:26 Importance of mastering LLm models and fine-tuning techniques 13:11 To master generative AI, focus on completing prerequisites and implementing end-to-end projects. Crafted by Merlin AI.",True
@awakenwithoutcoffee,2024-05-13T15:21:14Z,0,"fantastic lecture again Krish! God bless you all,",True
@durgeshkumardurga2073,2024-05-05T16:19:07Z,0,If i have a basic knowledge of Python then can i learn Genreative AI .I don't about ML... please suggest.. thank you,True
@bobbymcclane2639,2024-04-29T20:22:47Z,0,"in refrence to the LLMOPS, you mentioned that there will be another video, please do add the role of plateforms like kubernative, kafka etc (cloud native technologies)",True
@karthikreddy4210,2024-04-28T09:26:02Z,1,Sir can you mention all the videos or the playlists of these topics in the description so it becomes easy for us to learn,True
@dineshgct,2024-04-27T13:38:55Z,1,Great video,True
@user-wc6bs9kb6e,2024-04-26T12:07:19Z,1,Very nicely explained and thoughful vedio for Gen AI,True
@chrdttchavan,2024-04-25T16:58:20Z,1,"If possible, please add a playlist on dashboard summarization using genAI.",True
@tejas4054,2024-04-25T08:56:28Z,0,कितना भी करो बड़ी कंपनी मे dsa ही पूछते है अगर कोडिंग से नहीं भाग सकते आजके no code ai के के लिए,True
@titoausten,2024-04-25T07:30:52Z,1,Can you do a video based on Image/Video side of generative AI?,True
@raneshmitra8156,2024-04-24T16:38:53Z,2,Deployment means with Cloud or without Cloud ☁️???,True
@ashutoshsharma929,2024-04-24T12:07:05Z,2,"Hello Mr. Krish,  I understand that you mentioned a need for statistics in the field of generative AI. In order to fully grasp this concept, I would like to know if it is also necessary to acquire knowledge in probability, linear algebra, and calculus.  Thank you for your time and consideration.",True
@seanhallahan14,2024-04-24T11:28:37Z,2,"Way to go, Krish!   You're such a helpful, giving person!  Thank you.",True
@KumarAbhishek-rj5br,2024-04-24T11:07:54Z,1,Thank you so much,True
@leslietientcheu4025,2024-04-24T08:41:48Z,1,"Hi Krish, is it possible to import my jupiter RAG notebook(using chromadb) in watsonx assistant ? Because I want to create a chatbot",True
@abubakarsaddiq4098,2024-04-23T15:14:42Z,4,"hello Sir, I'm from Pakistan consider my self your student and thoroughly watching your videos. Here I wanted to make a suggestion for making a python in one video. This could be helpful for us as quick revision as well easy learning. stay blessed",True
@shubhamsharmaofficial04,2024-04-23T06:53:12Z,1,thanks for bringing this video it is really helpful,True
@uzbaig5952,2024-04-23T06:45:12Z,1,"Hi sir, Hope your doing well. Sir, I wanted clarification, I plotted Nan and non-Nan values against median salary for multiple features and found out that in some features median salary is high for non-nan, for some median salary is high for Nan values, and for some features it's almost the same. What intuition do we get from this ? Should we consider missing values are MCAR or MNAR ?",True
@madhavipeddireddy5304,2024-04-23T05:56:30Z,1,Thank you so much sir.,True
@jaisingh1292,2024-04-23T04:31:24Z,0,"Hi Krish I would suggest for LLMops show based on Cloud platform like Azure , GCP , AWS.  Reason in industry we can use platform like Comet LLM or Gallielo or anyother platform where we need to create IDs and signup on there platform and then use there keys in our environment and our data and prompts goes to them.  I am seeing many people creating LLMops tutorial but everything is waste because in companies it wont be useable even Lang serve and Langsmith by langchain",True
@viveksahay4679,2024-04-23T03:32:25Z,10,"Sir, I am a new student of the iNeuron FSDS course. I was heartbroken and confused when I learned that Neuro lab has been discontinued. It was the backbone of the course.",True
@ArjunLagisetty-yh3dy,2024-04-23T02:58:08Z,1,Thanks!,True
