author,updated_at,like_count,text,public
@_seeker423,2023-10-13T20:25:10Z,0,Huge fan of your content! Thank you for educating so many people. nit comment: can you make your picture frame in the video smaller as it is overlaps with the content itself?,True
@shikhaarya8238,2023-07-28T11:06:10Z,0,I need videos of Android malware detection,True
@Ankitkumar-qh6tx,2023-07-22T06:39:39Z,0,"if you are referring to any link, please mention it in the description.",True
@rohitchan007,2021-10-01T16:34:24Z,0,Can you please add more videos on reinforcement learning ??,True
@lakshit-khanna,2021-05-05T11:20:32Z,1,Sir can you make a video on Elasticsearch + Recommender System so that it can be a Production ready Recommender system?,True
@mohitvk8862,2020-10-29T07:39:13Z,0,Thank you for the efforts❤😁....Really looking forward for more videos in this playlist on Reinforcement learning.,True
@MurariMahaseth,2020-10-19T07:02:36Z,5,"Sir, I am waiting for next video in this playlist. Please make videos on theory description and implementation of Q learning and Bellman equation soon.",True
@firozali2338,2020-10-14T03:48:45Z,0,Aree bhai koi qstns puche to reply b kr de kr..cments ke lie bolte ho but reply krte nhi ho,True
@AMANJAISWAL-gf7kh,2020-10-12T10:00:11Z,1,Thankyou sir for starting this playlist.Please complete this playlist  with pace and completeness.,True
@quirkbud8621,2020-10-11T08:05:20Z,0,https://www.analyticsvidhya.com/blog/2020/10/introduction-python-functions-data-science/,True
@PraveenKumar-il8kn,2020-10-10T13:11:22Z,1,Please start machine learning tutorials in your channel thanks in advance,True
@firozali2338,2020-10-10T10:33:10Z,1,Bro I have just completed my twelfth. Im big fan of technology and all that stuff...  Will you plz suggest me some course should i take. Software engineering or language courses?,True
@siddhikasliwal533,2020-10-10T02:22:51Z,3,"Hello sir, sir I am in the final year of bsc statistics,want to know what should I go for after graduation, internship or masters right after graduation? please help:-)",True
@ShahidAli-ed2qw,2020-10-09T20:02:13Z,2,"Hey krish you r doing such great work, but i just want to know one if someone follow u r complete data science videos . So is this enough material to get job in data science field   Please reply",True
@rohitsaka,2020-10-09T19:36:18Z,8,"Hello Krish Sir, What will be the difference from AWS reinforcement Learning and Traditional Reinforcement Learning ( Lectures of David Silver & Balaraman Ravidran Sir's ) . Theory First, Implementation Next (Bandit Problems, Markov Decision Process , Partially Observed MDP's , Dynammic Programming , Q-learning etc..) / Implementation First AWS ?  Very much interested in RL field of Research,  after my undergrad. It is definitely going to be a epic ride if you start lectures on this. Much Excited.",True
@AjaySingh-dd4yv,2020-10-09T15:47:44Z,4,As always again very good,True
@whysoserious-yj1ku,2020-10-09T15:26:45Z,3,Can i learn rl even if i don't have a very fine grasp in supervised and unsupervised algorithms?,True
@janardhanpasala2143,2020-10-09T15:24:55Z,3,"Hi, Krish, I have to thank for your dedication for providing quality knowledge through your channel. Since I watched some of your videos I tried to join as a member for a month through gpay but my transaction got declined and even I tried with credit card but again transaction got failed with some error message.",True
@adityagandhamal2351,2020-10-09T14:52:21Z,3,"Sir, when will the practical videos of Transformers and BERT be uploaded?",True
@gauravsaha1865,2020-10-09T14:02:18Z,4,"Krish Naik sir, I am a mechanical engineer with 3 yrs of work exp. & also did my post graduation from NIFFT,  currently working as Senior engineer in Production department no relevant work experience in Data science and analytics but want a transition from my current profile to data science or analysis, I have talked to applied AI COURSE but they are saying that I don't have relevant experience what should I do sir? Please help me",True
@gauravsaha1865,2020-10-09T14:02:14Z,2,"Krish Naik sir, I am a mechanical engineer with 3 yrs of work exp. & also did my post graduation from NIFFT,  currently working as Senior engineer in Production department no relevant work experience in Data science and analytics but want a transition from my current profile to data science or analysis, I have talked to applied AI COURSE but they are saying that I don't have relevant experience what should I do sir? Please help me",True
@anantgupta3285,2020-10-09T14:01:15Z,3,Sir I have messaged you on LinkedIn please reply,True
