author,updated_at,like_count,text,public
@RedicoAccount,2024-02-29T08:40:04Z,0,"I wish I would have watched this video before my today's interview. anyway, thanks for putting the clarity on this.",True
@KaranKumar-vz1rm,2024-02-11T22:26:54Z,0,"When you start video  , I Hindi / urdu , I must say , Maza aaagya 😅",True
@espoirk.kouevi6212,2023-10-07T19:38:54Z,0,"Thank you, Alex. You are just a blessing for me.",True
@matttran7161,2023-09-22T21:25:48Z,1,Banger content. Comment for the algorithm,True
@testprepration182,2023-09-19T10:53:38Z,0,Plz make a 1 video how we collect a data which we used for our projects. I have done your data analyst boot camp series,True
@MindyBrockdesigns,2023-09-13T16:59:14Z,1,"I'm currently working on my MBA capstone project as part of my journey towards completing my MBA in data analytics. Transitioning from a background in IT and marketing, this degree has significantly aided me in securing a technical data analyst position, where I utilize SQL and Python regularly. However, due to the accelerated nature of the program, I've noticed that my soft skills, particularly in effective communication and presentation, could use improvement. I'm seeking suggestions on how to enhance my ability to communicate and present complex data analytics, statistics, AI, and ML concepts to both my team and business leaders. Any ideas or advice would be greatly appreciated.",True
@NDE-SDJ,2023-09-12T20:23:00Z,5,"I absolutely agree that it is possible to develop your soft skills. If you feel insecure because you are an introvert and have some degree of social anxiety, I promise over the years that you will develop your own communication style and eventually you will learn that people will genuinely like you for who you are. It takes time, and not everyone will like you no matter what you do. But you will become comfortable with who you are. And maybe one day you will own it and create an entire brand around it. Signed: The Nerd Dad Extraordinaire ~ A Fellow Introvert.",True
@jaylarosepittman4310,2023-09-11T22:44:58Z,0,Hey Alex! I have been struggling with coming up with project ideas for my portfolio. What do you recommend?,True
@kangwamumba7479,2023-09-11T11:28:04Z,0,Have you done a video on what makes a good Data Analyst Resume's?,True
@cp32510,2023-09-07T21:46:23Z,1,"Hello: I'm new to this field with a BS in Sociology and will be starting my MS in Data Analytics in a couple of weeks.  I was wondering if there are any entry level, no experience opportunities that could be worked while you're learning for those who need to work while in school?",True
@kapur.betzy2023,2023-09-07T13:08:21Z,2,"""We're really looking forward to seeing more advanced projects in Excel, SQL, and Power BI on your channel! Your content is awesome, and we're eager for even more challenging stuff. 😇""",True
@wilsonman8661,2023-09-07T03:46:45Z,1,Is this job more hard skills or soft skills?  Yes. :D,True
@fallabeaufaebelle,2023-09-06T02:24:04Z,1,"Your hard skills get your foot in the door. Your soft skills determine if that's the right room for you to be in.   When members of my family have hired people, they've told me that there's this bare minimum requirement of being able to do the job they're being hired for that gets your resume on a pile. But what gets you the job is what you bring beyond that. From there, it can depend on a lot of factors. My grandfather preferred in most instances to hire someone who was moldable so if they didn't have a lot of experience or got the basics but nothing specialized then as long as they were someone he wanted to work with then he preferred to teach them how things worked because he had a specific flow. People too set in their own ways clashed in the workplace.   It's not the ""best"" or the ""worst"" way to hire someone. It's simply how things worked for that newsprint company. You might be qualified for several different job openings, but only a handful are a good fit for you and the company because of all the things you're looking for as an employee and what they are looking for in an employee.   In general what I hear from employers is that being able to do the job is literally the bare minimum and if you want the job you have to bring something to the table they actually need outside of what the other folks can do because all the other applicants that are competition with you are also technically qualified for the job too.   Some great feedback I've gotten from my mentor (for those job hunting) is once you get in an interview to ask for feedback from the interviewer on how you can improve. They might be honest and tell you that you're hard skills are great and you'd be great for maybe another position but for a specific reason not what they're looking for in this role. Which is great because you can still keep your name in the hat if that before mentioned position does open up so long as you can establish a good connection. Interviewing and following up can help a lot with networking. Even if it doesn't get you that job you were going for, it can open doors to other opportunities! People talk and someone might suggest you look into applying somewhere else for a role they think you'd fit into and then tell their good buddy there to expect you since they thought you were such a great candidate even if you weren't the best fit for the role you originally were going out for!",True
@nataliekyip,2023-09-05T22:16:28Z,1,"Hi Alex, thank you for all of your videos! I have been watching all of them for the past few months and they have been helping me a lot while I am on the job hunt. Now I know what I should work on and the information and resources you have provided have been invaluable. I'm speaking with the department manager for a company I applied to tomorrow. Wish me luck.",True
@AkorChibuike,2023-09-05T21:16:50Z,1,"Greetings Alex, I'm interested to be a Data Analyst but it so complex to think where to begin. Please advice me🙏",True
@Jeff-gg9ox,2023-09-05T18:41:51Z,10,"Hard skills will get you the job, soft skills will get you promoted.",True
@mahmodi5timetolearn,2023-09-05T18:22:48Z,0,"From Italy 🇮🇹, you are the best",True
@gustavoalcantara848,2023-09-05T17:49:22Z,1,Greetings from Brazil! Thanks to share your world.,True
@dr.irinimahfouz762,2023-09-05T14:40:45Z,2,What are the available companies that I can apply to work as an online data analyst? I live in Egypt.,True
@maminoivan8955,2023-09-05T13:02:20Z,3,Thank u!!!,True
@Aushaj96,2023-09-05T12:44:51Z,8,"Thanks for this Alex! I'm introverted myself but I'm interested to try the Data Analyst path (which makes me nervous haha). I have a question for the hard skills, do you need certifications for it? Or should I rely on experience (I work in IT but I have no any experience for Data Analyst tools)? Thanks again 🙂",True
@Headlikeanorange84,2023-09-05T12:39:57Z,8,"Hi Alex, great video! In previous videos you mentioned being involved in hiring people at your previous job(s). How did you test people's soft skills during the job interview process? Also, is there any new information regarding your coming course platform and being a beta user? Edit: just saw your reply on someone else's comment.",True
@traetrae11,2023-09-05T12:39:16Z,16,Thank you for all your videos and the great information you give us. I’m speaking with the senior HR recruiter today for a company I applied to. Wish me luck.,True
@tosinadefemi1258,2023-09-05T12:04:09Z,4,"You read my mind Alex, just the video I needed. Also I haven’t seen anything about the analyst builder Beta learning platform, dunno if it’s been launched already",True
