author,updated_at,like_count,text,public
@steveRyk570,2024-05-30T20:27:36Z,0,I'm soon to start courses with coursecareers and excited about this new era of my life. This video gives me even more energy.,True
@regineyo726,2024-05-06T14:44:30Z,0,Is this suitable for an introvert ?,True
@armi5102,2024-04-10T12:08:35Z,0,"How much is the yearly salary of a data analyst, on average please 🙏🏾",True
@userwheretogo,2024-02-19T20:07:32Z,0,Wrong!,True
@bradleyturek,2024-02-09T05:31:31Z,0,Have you ever tried Domo? Any thoughts?,True
@dimaur3697,2024-02-03T22:38:28Z,0,Data cleaning is sucks lol,True
@7lyrics302,2024-02-01T11:04:28Z,0,"Hey Sir I am beginner in Data Analyst but I had done more than 20 projects and learn Basics of Python and Modules like Numpy,Pandas, Matpotlib and Seaborn. I got good proficient in SQL, Power BI , Excel and Tableau. But I'm very Confused what projects I have done are from Kaggle but I really want to slove the Real World Data Analyst Problem . Please Assist me 😢",True
@flickhunter8900,2024-01-23T16:10:19Z,0,Bro can u make a video on what a business analyst do?,True
@adamsarwar,2024-01-22T18:45:18Z,0,Are there AI or generativeAI type tools that can automate the data cleaning part?,True
@user-hu6or6kb1m,2024-01-14T00:47:07Z,0,cleaning communicating decipher.,True
@deefee701,2024-01-02T09:17:00Z,1,This is great. I'd love to see this video on a careers website so people can see what the job is really about. Then people can see how to learn what's needed to do the jobs.,True
@andyatmosphere,2023-12-27T00:07:35Z,0,This is next level data analysis. Super cool to see!,True
@Turtlenigma,2023-12-25T16:19:12Z,0,Thats actually the Data Engineers Job no?,True
@mashuu2301,2023-12-24T23:21:19Z,0,Is youtube trying to guide my career choices?,True
@user-ke9qv1bs7z,2023-12-24T04:32:12Z,0,"yup...being a cook a dish, we need to buy, prepare, clean before cooking and cleaning the dishes after that.   It's not just about the cooking.",True
@andyn6053,2023-12-23T16:32:04Z,0,Data analyst is a joke. Require no tech or math skills.,True
@anastasiosvra9024,2023-12-19T17:28:35Z,0,"Luke it would be great if you could expand on this or share more about the ""insights finding"" part of the job, how do you uncover them? What steps you you take after data cleaning towards finding the insights? Enlighten us, Master!!",True
@moditagarg7770,2023-11-24T13:22:00Z,0,"Heyyy, how do you use ms excel power bi on MacBook?",True
@fancyvlawgs,2023-11-01T12:13:28Z,0,Dudes the arnold schwarngger in data life,True
@CovenantBI,2023-09-19T22:32:54Z,0,Nice!,True
@dominicatuahene7303,2023-09-05T15:54:30Z,0,"Great video. I have a question though. Does Data Analyst always need to obtain the data from the source storage? How can we do automation for a project? I mean how can we connect the data source to the SQL/ Python script and the Dashboard so that when there is a change in the data source, it can be refreshed in the Queries and the Dashboard? Thank you",True
@yootesa1515,2023-09-05T00:43:12Z,0,We do that in paid media aswell but we use paid and we have all the data sets from ad networks,True
@Rekon-se6wv,2023-09-03T04:23:53Z,1,Sounds like a lot of work. Added to the list of things I dont want no part in,True
@tommytrieu416,2023-08-28T15:42:27Z,0,Thank you for the insighta. Do you use youtube data to grow ypue channel? A,True
@mayesharahman3141,2023-08-27T18:30:58Z,0,"As a data analyst,  is there a lot of presenting to do",True
@balkaransingh7372,2023-08-25T09:33:25Z,0,What are the work hours like? Do you have a good work life balance?,True
@athulvs6077,2023-08-21T05:54:36Z,0,Data analyst or software developer... Which has more scope and salary as a fresher..,True
@gamersant7466,2023-08-21T01:22:55Z,0,Oh really loved it. In 30 seconds understood what really is needed to become a data analyst. More of analytical skills and less of dashboarding tools. Great work,True
@saintrhemajl,2023-08-17T14:49:21Z,0,Few people realize this is a tutorial,True
@asiaparveen6732,2023-08-13T12:29:45Z,0,What type of problem,True
@user-ge4is6zi3c,2023-07-18T12:41:49Z,1,Mr Luck can you give me online lessons I got the Data analytics certificate but I need for practical experience I don't know where to start!!,True
@ruyalmaharzan4250,2023-06-14T05:53:05Z,0,I have dilema should I learn Tableau or power bi for visualization. Could you suggest,True
@aryrace,2023-06-13T09:52:49Z,5,"I was very excited to learn how to become a data analyst but now that I keep on watching videos like this explaining the real world of becoming a data analyst I suddenly think I can’t do this. Geez, I hope I can really do this!!",True
@ksaha6387,2023-06-12T00:00:27Z,2,"The amount of skills you have, I'd call you a Data Scientist 😅",True
@LynMyn-zt3qi,2023-05-25T19:01:39Z,0,How often you interact with people? Or do you spend a large portion of your time behind the computer? I like computer a lot 😅,True
@geraldadilnea,2023-04-10T13:18:12Z,0,Thankiuuuuu,True
@SalahM07,2023-04-07T21:51:11Z,0,Do you thinks this is all the job for data analyst ?,True
@davidayoola7080,2023-03-23T12:41:01Z,0,Hello. I'm also a data analystu but I need to work more on live projects. Is there a way I can get remote jobs?,True
@ryezheld,2023-03-19T03:50:37Z,0,still learning how to properly use Tableau. wish me luck on getting my 1st job. 🙏🏻,True
@buuzy252,2023-03-11T19:04:23Z,0,What company did you work for? Like a super market? Or any kind of retail store?,True
@buuzy252,2023-03-11T19:03:57Z,1,Super helpful video! Thanks! I just started learning data analytics!,True
@ajeetsinghrathore326,2023-03-08T09:21:03Z,0,Sir how much time cleaning tha data and how can u perform this ?? Can u provide a separate video on that . & how many hours do you work in a day,True
@ashonvills,2023-02-28T19:30:49Z,1,I just started my data analyst course a week back and you are scaring me lmao.  What's better paid job a buisness analyst or data analyst?,True
@seekerj1643,2023-02-14T21:56:04Z,14,Very underrated video. As a Data Analyst this is spot on. Thanks Luke!,True
@bddaawwgg,2023-02-10T03:20:50Z,7,Your videos single handedly encouraged me to go learn python. I'm going thru the Coursera classes right now. Cheers!,True
