author,updated_at,like_count,text,public
@vashitvaraj3520,2022-07-20T04:42:17Z,0,please make a video on blockchain's job prospects in India at present and in future.,True
@rediyeheins6624,2022-05-15T18:47:49Z,0,That was such a quality information shared in short period of time  Props to Krish for keeping it technical and not overwhelmingly business oriented,True
@Shiv_Om_Pal,2022-02-04T12:42:18Z,0,Very good information about Web 3.0 and Blockchain,True
@birensubudhi,2022-01-29T18:15:33Z,0,18 million bitcoin mined in around 12 years and for remaining 3 million bitcoin it will take 120 year.?.. Very interesting!!,True
@sndselecta,2022-01-25T20:24:31Z,0,Any one have access to the links mentioned,True
@pawanhardas5051,2022-01-22T10:58:11Z,0,Where are the links?,True
@oliesting4921,2022-01-21T21:03:19Z,0,How do we go about and start learning and implementing?,True
@souviksarkar5480,2022-01-21T18:03:58Z,0,Sir plse provide timestamps,True
@AbhijithChandradas,2022-01-21T17:19:04Z,1,awesome job krish! keep the good work going (y),True
@pauleastwood9210,2022-01-21T15:53:36Z,1,"ELA Elastos is about to moon, best web3 project out there",True
@inforant598,2022-01-21T15:03:44Z,2,One of the best Masterclass 👍🏻,True
@shashankjha6230,2022-01-21T13:18:52Z,1,Sir could you please also make a video on NFT?,True
@seshasai1674,2022-01-21T12:38:39Z,1,Pls post the links mentioned in the session,True
@prashantkumar9910,2022-01-21T12:37:40Z,1,Pls share  the links pls,True
@prashantkumar9910,2022-01-21T12:36:32Z,2,Cool talks... Love this,True
