author,updated_at,like_count,text,public
@user-bj9hq7jf9o,2024-05-08T06:14:09Z,0,You the people again proved that       YouTube is the best learning platform. Thank u so much sir for being a part of your YouTube student❤,True
@PrabhuKiran-rl8eg,2024-04-28T13:18:04Z,0,anna explanation chala bagudhi but ML unit wise motham videos chiyachu ga help aavuthudi maku and also cd kuda chiyachu anna,True
@arpanpradhan493,2024-02-13T03:14:41Z,0,Great Explaining! I am in Data Science Masters Program in Data mining class.,True
@alihussien7935,2024-02-12T09:37:07Z,0,"Thanks for all your good video. Your explanation are very good. But you don't tell ps , when we used and why. What is the goal?",True
@Noonewknows,2024-01-27T17:36:57Z,0,Could you teach us how to calculate uncertainty in regression model for each test data set,True
@odelolatechup1447,2023-12-31T16:30:17Z,0,I love your videos thank you,True
@karthikannavarapu8436,2023-12-27T13:19:27Z,0,You are a god for the One day exam preparation students 🙏,True
@rouzbehamirazodi3001,2023-11-08T08:42:54Z,0,What about regression. You keep using classification examples like voting etc,True
@arvindsinha1,2023-11-04T21:12:31Z,0,Great explanation!,True
@rafipatel5020,2023-10-30T10:33:31Z,0,Sitting in my MSc AI class in London and watching him because he is just better!,True
@karthikrajendran3394,2023-09-20T04:20:29Z,0,Well explained. Thank you. I was getting confused with the textual explanation.,True
@vgreddysaragada,2023-08-21T09:40:41Z,0,good,True
@kmdkhaleeluddin6257,2023-07-31T18:45:04Z,0,Your explanation is awesome ❣️ and thank you so much for making these video for us  I request you to provide your  full notes of machine learning so it could be so easy for us ❣️✨it may possible to get high score in machine learning ❣️ Thank you once again ❣️✨.....,True
@srivathsans6707,2023-06-20T06:21:03Z,0,Waste of time,True
@memonakhan9804,2023-05-09T08:01:38Z,0,This is actually a really nice explanation. Keep it up.,True
@rkrish6476,2023-04-08T05:50:50Z,0,Great Explanation .. Thanks Krish,True
@yoshitha12,2023-03-19T13:31:29Z,0,Very clear ❤,True
@_PremKharat,2023-03-07T14:01:16Z,0,One video and thats it concept clear  Thanks a lot sir,True
@ruchasamant4242,2023-02-21T11:06:34Z,0,What will be boosting algorithms complexity?,True
@shubhamchaudhari1212,2023-01-16T07:45:07Z,0,"When the base learners are created i.e different models, will the modles be only the ones that are comparible to solve Binary model as you said to cinsider the modle as Binary Regresion ?",True
@trknigatu,2023-01-12T19:02:14Z,0,"You have made it super clear. It shows your time investment on the subject. As the saying goes ""If you can't explain it to a six-year-old, then you don't understand it yourself” Albert Einstein",True
@shresthaditya2950,2022-12-28T11:46:40Z,9,0:06-Ensemble Techniques 0:30-Bagging is also called bootstrap aggregation  1:40-In Bagg we divide the data into various samples(on the basis of row sampling with replacement) depending on the number of ML models(Base Learners)known as Bootstrap and then the output which is in majority after running all the models is considered(Voting Classifier)also known as Aggregation  2:53-Row Sampling with replacement 4:02- 4:50-BootStrap 5:14-Aggregation,True
@denissobczyk9363,2022-12-15T15:34:22Z,0,just take a moment and appreciate the brilliance of this guy! Once again saved me from reading countless pages...,True
@tanvirtanvir6435,2022-12-06T06:53:35Z,0,2:35 m<n is it correct? 4:30 voting classifier 5:10 bootstrap and aggregator,True
@shadiyapp5552,2022-11-12T08:20:15Z,0,Thank you ♥️,True
@vaibhavkumar1509,2022-11-11T02:59:09Z,0,"I am doing Master's in USA, thank you for this explanation.",True
@jackjakie6076,2022-10-02T13:11:07Z,0,add subtitiles please,True
@ManikandanRaju,2022-09-25T15:54:57Z,0,This is wonderful. Thank you for such a simple and easy understanding explanation sir.,True
@suparnasaha3043,2022-09-16T18:27:07Z,0,Great explanation,True
