author,updated_at,like_count,text,public
@KenJee_ds,2020-10-05T17:39:01Z,5,"Thanks for watching everyone! I love making educational videos, but sometimes it is nice to make one just for fun. Enjoy!  Part 2: https://www.youtube.com/watch?v=ogodLg9UOYY&ab_channel=DataLeap https://www.youtube.com/channel/UC23emuGbNM7twofQIrEgPBQ",True
@ammarjamsheddataalchemist6627,2023-10-12T19:53:30Z,0,Nice haha you should add Laughters in the background,True
@bin4ry_d3struct0r,2022-11-25T16:02:14Z,1,"My dad knew a guy who worked at his company whose version of ""the model's training"" was ""it's cooking."" Well, after about 8 months of ""cooking"" with nothing to show for it, he was fired.",True
@piyushzope10,2021-02-14T15:19:36Z,3,Bravo.....😂Sitting on the floor to ground my thoughts...😂by the way nice video🤟,True
@MrBobbyANDCookie,2021-01-22T22:35:10Z,1,"""what do you mean I can't do this with a jupyter notebook?"" 😂",True
@prod.kashkari3075,2020-12-20T02:26:40Z,1,LMFAO I SAY MODELS TRAINING TOO MUCH,True
@IuliaFeroli,2020-12-15T20:09:23Z,1,To be honest naming your child Leigh Techkkkkq is still a better idea then calling them Latex and insisting that's not how you pronounce it haha (0:37),True
@ChrisLovejoy,2020-10-22T10:32:51Z,2,Love it,True
@zawarudo2095,2020-10-10T07:43:01Z,1,Fucking legend,True
@Rl-vc2fo,2020-10-09T23:47:58Z,3,I laughed so FREAKINNG hard when he said “we extract signal from the noise”,True
@zainabelmadhoni6856,2020-10-08T22:56:55Z,1,PPT vs Latex OMG XD,True
@djweller72,2020-10-08T19:36:56Z,1,"""The model's training"" is the new ""The program's compiling"".",True
@caioreis350,2020-10-07T11:30:42Z,1,"DUDE THATS SO TRUE!  Everytime my model is training, i check the phone for messages or memes and it is aways when someone passes by and sees me giggling and looking at the phone.   I feel embarassed",True
@sidagarwal43,2020-10-07T05:43:04Z,2,"""Who calls it BIG DATA anymore"" - BEST",True
@rampanda2361,2020-10-06T18:28:10Z,1,"I am watching with out coding.   Yeaaah, the model is training.",True
@drjenburgess,2020-10-06T17:52:44Z,1,"""I actually prefer to sit on the floor""...10 seconds later...""You still code sitting down?"" 😂 Funny even for non data-scientists",True
@hassanshahzad1567,2020-10-06T16:59:02Z,1,what is a dog fish api? I know the jokes a reference but I still dont get it. Can someone help me out?,True
@shaz-z506,2020-10-06T15:25:58Z,1,This is the good one Ken Jee and btw my model is still in training.😂,True
@setaremaleksadati7590,2020-10-06T11:32:09Z,1,Latexkhkhkh lol,True
@joshbillion6874,2020-10-06T06:36:45Z,1,"How about you guys do on what interviewers say to junior Data scientists. Do u know know numpy ,scipy, random forest, neural networks. Can you do this task for us for free cos we can't figure out how to do it but we wont get back to you after the 3rd round or reply oh sorry we need someone with 8 years experience for the entry level position but damn you can code. I will just clone all your projects, there are a lot of useful staff here ,oh by the way we gave the job to this dude he is really good at using Excel.",True
@justinhuang8034,2020-10-06T05:24:57Z,1,hahaha this 0:21 haha this is what I want to tell recruiters every time 🤣,True
@ImportData1,2020-10-06T05:12:53Z,1,watching this video while I'm running my model..lol,True
@failedcomedian8125,2020-10-06T04:28:19Z,1,Forgot 'I give meaning to data',True
@blackphillip5757,2020-10-06T02:17:35Z,2,This was my watch for day number 1 of my #66DaysOfData      Nah jk but I'm sure I learned something lmao,True
@SonLe-mk4sq,2020-10-06T01:40:32Z,5,"Now you HAVE TO make a ""Model's training..."" T-shirt 😆",True
@overratedisoverrated930,2020-10-06T00:09:07Z,1,Hey Ken I don't know if you remember me  (freshman (well now a sophomore tho) economics student in Turkey). I just got an internship and learned python besides R and keep working. :)),True
@LewiUberg,2020-10-05T21:07:24Z,1,"I bet that will make more sense after I get some work experience :) on that point, how to prepare for a data science intervju?",True
@JesperDramsch,2020-10-05T20:43:44Z,1,I watched this video while my model was training.,True
@TinaHuang1,2020-10-05T19:56:48Z,1,HAHAH the model's always training tbh,True
@theoutlet9300,2020-10-05T19:39:12Z,1,from api to ipa we all grew up,True
@byoutekinaeiyuu,2020-10-05T19:26:54Z,1,"Fake, not arrogant enough ;)",True
@delt19,2020-10-05T19:11:50Z,7,"I'm not a data scientist but next time my wife looks at me sideways for spending too much time doing nothing, my response will most definitely be: Yea the model's training!",True
@heetshah5175,2020-10-05T19:03:56Z,1,🤣🤣🤣,True
@devanshverma5395,2020-10-05T18:49:08Z,1,You should do this more❤️😂😂😂,True
@dolusolana2127,2020-10-05T18:25:00Z,1,You guys killed this.,True
@TopBagon,2020-10-05T18:13:31Z,3,"Now I wanna become a data scientist just to say ""The model's training""",True
@miguelrosales3930,2020-10-05T18:06:18Z,1,Really funny! Adding humor is always great :),True
@AkhilPotdar4405,2020-10-05T18:03:25Z,1,Model's training 🤣🤣🤣,True
@TheElementFive,2020-10-05T17:33:42Z,1,"Broo, that dig at excel was gold",True
@physics-universe4855,2020-10-05T17:23:24Z,1,Training a huge neural network makes me angry.,True
@physics-universe4855,2020-10-05T17:23:22Z,1,Training a huge neural network makes me angry.,True
@larigiba,2020-10-05T17:18:16Z,1,Awesome haha!,True
@TheRollsP,2020-10-05T17:08:51Z,1,Models training..hence I'm here,True
@muskandhapa263,2020-10-05T17:03:44Z,4,"Okay so he's a sports analyst, YouTuber , an almost career counsellor... And now he's making vines... That are actually funny. Is there anything he can't do?",True
@ashleyhaa,2020-10-05T16:56:40Z,1,stoppppp lmao the dogfish head API took me out😂,True
@WhyofAI,2020-10-05T16:48:24Z,1,"Haha, that's hilarious guys!",True
@km5116,2020-10-05T16:19:39Z,1,Wait no one calls it big data anymore? 😂,True
