author,updated_at,like_count,text,public
@LukeBarousse,2021-01-07T19:21:26Z,15,If you're getting the M1 Mac check out this video to help decide between the Pro and the Air: https://www.youtube.com/watch?v=xzR4L_XYW3g,True
@NicholasAgule,2023-09-21T14:06:01Z,0,would you recommend buying an intel mac in 2023 for power BI? I cannot currently afford a parallels subscription,True
@srinivasbiramoni8033,2023-09-13T08:31:01Z,0,video is two years old … how abt now ? business intelligence app still don’t supported on Macbook ?,True
@Soulseeologia,2023-08-05T21:03:46Z,0,Does tableau work on m1  in 2023?  Now  these machines are $750US- is that a good deal for data science?,True
@djmill8000,2022-11-26T20:36:16Z,0,Neither get a pc for data,True
@shubhamsalunkhe2139,2022-09-05T10:38:48Z,0,Luke can you also make videos on increasing Aws cloud services  jobs in the market and reason for their Demand .,True
@shubhamsalunkhe2139,2022-09-02T02:36:47Z,0,"hi Luke , can you just throw some light if i want to use Microsoft sql server on my M1 14' inch Macbook  Pro!",True
@beytulk,2022-08-11T21:21:43Z,0,"How is the current situation after a year? As I see on the internet, many people still face issues while installing packages? I'm willing to buy an m1 but I'm very very indecisive because of the incombatibility issues.",True
@punkmasterandy,2022-06-18T10:20:11Z,0,"I have enrolled myself in 1 year post graduate data science program. Where I have courses like -  1.Programming Refresher 2. Statistics Essentials 3. R Programming for DS 4. Data Science with R 5. Python for DS 6. Data Science with Python 7. Machine Learning (Adv) 8. Tableau Training 9. NLP (Natural Lang Proc)   So, for these please suggest me the MacBook with its configuration needed in budget to go for?",True
@thierrybo6304,2022-04-23T12:16:55Z,0,"The difference seems just ""normal"" between a core i5 from 2018 and the new m1",True
@r0llc4ll66,2022-03-10T11:12:30Z,0,"If I continuously use windows on Mac for multiple years would my m1 Mac Pro get slowed down, laggy?",True
@timothylim8728,2022-02-01T11:13:45Z,0,"It's been a year now. Curious, as a data science student should I go for 16gb M1 MBA or the 14 MBP base model.",True
@mariaanthuvanvivek3621,2022-01-30T17:36:32Z,0,"Hey Luke ! This video is really helpful. I have a question though. How good is the MAC when it comes to Pyhton Deep Learning such as Image classification, neural networks, etc. ?",True
@kamranemami5728,2021-12-23T19:25:38Z,0,"Hello there Mr Barousse. I wanna order a new MacBook with m1 chip. But it's important for me that I can run Bioinformatics programs specifically GROMACS. Could you please help me and check out that Can I run GROMACS on m1 MacBook? Best regards",True
@devonpeters9458,2021-12-04T17:19:54Z,0,Thanks for the video. Any updates on Tableu and Power BI compatibility with the M1? I’m looking to get on for an MSBA starting in January,True
@diegoolivares4384,2021-11-04T19:57:38Z,0,"What about Stata, R and Python? I'm economics student",True
@rubenquispemccarthy3127,2021-11-03T12:15:55Z,0,"Hello Luke, could you teach me how to install power bi in M1 Pro & R, tableau, please! thank you so much",True
@ColbyLandwehr,2021-10-27T18:20:26Z,0,"CE here, just want to clarify… silicon  is pronounced sili-Kin. Sili-Cone is a rubber like plastic.  Silicon vs silicone.",True
@SteveMichael,2021-10-25T14:22:05Z,0,"I am curious if this suggestion has changed at all and what, if any, is changed with the new M1X and the ability to have more than 16GB of RAM in the MacBook Pro now.   My son is in college and he is studying data science and has had a MacBook Pro (Intel) that is around 6 years old and I was debating giving him my 16"" Intel MacBook Pro from last year or getting him another computer.   I look at the current AMD/Intel Microsoft Windows laptops but honestly they seem horrible when compared to the new M1X laptops.   I am just curious how significant running Microsoft Windows still is for a Data Scientist in todays world.",True
@Erin-Thor,2021-10-20T23:15:35Z,0,I wonder how it compares to an i9 intel mb pro?,True
@clertz7393,2021-10-12T16:19:02Z,0,"Thank you so much for your Content. I’m beginner of data science course .  How do you think MAC M1 suitable for Data science ?  ( deep learning , machine learning )",True
