author,updated_at,like_count,text,public
@ContentCorner-ou5pl,2023-06-07T06:52:12Z,0,Where is the dataset u are using ?,True
@sandipansarkar9211,2021-09-21T15:18:47Z,0,finished watching,True
@apuroop.mahadev,2021-01-10T05:23:17Z,0,Continuous things are green and discrete are blue pills. Generally as dimensions are discrete it's treated as blue pill. All dimensions are not blue pills and they can changed if needed too.  Explanation on relationships could be helpful instead of skipping that part.,True
@dorgeswati,2020-12-27T14:15:40Z,0,Amit Bose why can't you do mathematical operations on  dimension columns that are numeric?,True
@titangamezone4379,2020-10-29T05:51:37Z,0,Hello can I get this powerpoint slides what you are using ?,True
@adriskhan3690,2020-09-23T11:48:02Z,1,"pretty shit you guys don't provide the dataset, even after several request",True
@sodiqrafiu9072,2020-05-04T16:57:28Z,1,"Thanks for job well done bro. Please, where can we get the dataset from?",True
@shashikiran516,2020-04-25T12:06:06Z,5,"Hi Krish, Can you please add the link for the data file that's referred to in this video. Thank you",True
@VinodRS01,2020-03-30T13:23:16Z,0,Thank you amit sir,True
@AkshayKumarakshai,2020-03-30T09:35:08Z,0,Please provide dataset link,True
@alipaloda9571,2020-03-29T07:32:04Z,0,sir I am using tableau public sir can you make video which connects tableau with r or any other software,True
@nilayranade3720,2020-03-28T17:52:49Z,1,How to get the dataset?,True
@preetibhatt5085,2020-03-28T16:49:51Z,2,Thanks krish sir for your great efforts .... this was the most awaited topic ...we are grateful to you .... it would be great if you could also provide us with the demo data set that u are using on github or share the link so that we could do hands on side by side,True
@vinaygupta-qe9sh,2020-03-28T14:54:29Z,0,Hi nice video for beginners. Please upload video related to calculated field in tableau. And also using SSAS cube. Thank you,True
@RamCharan-bn5cb,2020-03-28T14:48:53Z,0,Please mention series order numbers otherwise will confuse,True
@phanikumar3136,2020-03-28T14:21:41Z,3,Can u plz provide the dataset?,True
@bhushansingh335,2020-03-28T13:56:13Z,1,Krishna Sir please review the NPTEL course of Python for Data Analytics.,True
@tanzeelahmed2055,2020-03-28T13:55:14Z,1,1st commentar,True
