author,updated_at,like_count,text,public
@krishnaik06,2021-12-23T05:27:01Z,4,"Enroll for OneNeuron Now And Get Lifetime Subscription Use KRISH10 as coupon code to get additional 10% discount OneNeuron Link: https://one-neuron.ineuron.ai/ Direct call to our Team incase of any queries  8788503778 6260726925 9538303385 866003447",True
@learninghub842,2022-01-21T17:11:38Z,0,i really really interest in data science but due to  financial condition i am unable to join as of now ..but i watching  your all video it's awesome,True
@rembautimes8808,2021-12-28T16:05:32Z,2,Very good solution - I respect the commitment to deliver a solution within the tight time constraints. A lot of commercial applications. Congratulations,True
@gauravshrivastav6807,2021-12-23T15:58:50Z,2,"Hello Simplified AI team, I wanted to join your team and build the 2nd version.",True
@srikanthn6680,2021-12-23T14:49:18Z,1,Do u accept project s from corporates,True
@nejatzileli6189,2021-12-23T12:48:23Z,1,"Hey, how much time did it take for you guys to develop this?",True
@gundlanagaraju6282,2021-12-23T10:38:15Z,1,"Excellent work krish sir,",True
@tabateeq,2021-12-23T10:08:22Z,1,Amazing man! Congratulations! 🔥,True
@SOYALSOFT,2021-12-23T10:02:51Z,1,in Somalia can't Enroll for OneNeuron because due to invalid phone Number,True
@priyamghosh508,2021-12-23T09:44:11Z,1,I have recently enrolled OneNeuron but i failed to put the coupon code. Is there any way to get it back?,True
@varun29star83,2021-12-23T08:52:23Z,3,Congratulations guys!!! Project looks amazing guys. keep up the good work. really motivated.,True
@kapildevsharma3245,2021-12-23T07:11:30Z,2,Amazing congratulations guyss ✌,True
@rahulalladi2086,2021-12-23T06:30:26Z,6,Can u post the project link,True
@garlapatisaivarun5832,2021-12-23T06:20:42Z,3,"Nice and Amazing work guys , I can help you in NLP field .How can i join your team ??",True
@sourabhbhatt5170,2021-12-23T06:11:16Z,3,🤩 amazing sir,True
@sinha3506,2021-12-23T05:48:24Z,3,How do I join the team?,True
