author,updated_at,like_count,text,public
@almaisakinudungsalsabila9590,2024-05-07T03:25:30Z,0,Data Scientist vs Data Analyst | Which Is Right For You?,True
@ss_websurfer,2024-03-18T15:26:29Z,0,do you think any of these jobs will be replaced by AI?,True
@Jinopao,2024-01-13T09:21:04Z,0,Can one become a data analyst without qualification,True
@missronnij743,2024-01-10T09:46:03Z,0,Can I data scientist work as a data analyst,True
@the.lulu.a,2024-01-07T01:23:27Z,0,"Hi, I have a Bsc in Geology, I took courses in mathematics, physics and computer science during my 4 years Bsc. Is it possible to apply for data analytics for my masters program?",True
@abhinavagrawal4087,2024-01-04T08:07:34Z,0,"Thanks, Alex for making this video, you are amazing.",True
@nileshgore7925,2023-12-18T12:18:56Z,0,Thanks Alex  Your video is really informative but I do have a question? Is it possible to get a job as a data scientist even if i study data analytics in future after gaining some experience.as master of data science is too expensive for me to study,True
@CHERRY__8055_,2023-10-17T05:37:29Z,0,Bro i need to know one thing about the bachelors degree  Currently iam studying btech ece (electronics and communication engineering) can i become a data scientist or data analyst with that particular degree I don't have interest in electronics and electrical stuff  Is it possible please respond 😊,True
@panic_seller,2023-09-22T09:18:18Z,0,"A lot of these companies don't know the differences, they could be looking for an Analyst but you end up performing Data Engineer and Data Scientist duties, that is they don't have the right infrastructure in place so you end up building pipelines to create your single point of truth before you can start any Analysis, after that is done, regular maintenance of you pipelines and analytics duties and soon enough adhoc queries of predictions, which becomes Data Scientist job",True
@Yebi263,2023-09-17T21:48:50Z,0,beautifully explained thnks,True
@DevenderKumar-zy9xo,2023-09-13T04:05:37Z,0,Hi Alex as I’m a warranty executive in an automobile OEM core profile is to work on data…so please suggest me how it will be helpful for me to do data analyst course….I have diploma in automobile engineering…no graduation….also please suggest the best platform for same…from India🙏🏻,True
@kathykahlua,2023-09-12T13:59:21Z,0,Really good advice,True
@Maram-zc6ey,2023-09-10T15:17:21Z,0,Can I take IBM data science course??? Is it worth it will I be able to learn data science with perfection,True
@im4485,2023-09-01T20:41:05Z,1,"Hi Alex. Can you please talk a bit about the importance of domain knowledge? In some industries, such as medical,  especially when  involves lab equipment, doing data analysis can be very challenging just because of the lack of context.",True
@george_anak_lihi,2023-08-29T10:54:24Z,0,0:08 *@#$*❤😂🎉😢😮😅😊tq to information,True
@fluxypoo,2023-07-26T06:19:23Z,0,Jfc turn the gain up on the audio,True
@diptimacwan2421,2023-07-26T02:38:08Z,0,"Hi Alex I have just watched your video. It's very interesting. I have bachelor degree in Arts field, am I eligible for Data analytics?",True
@marcogauch,2023-07-14T20:28:34Z,0,How would you go about to choose between a masters in statistics or data science? Are there more limitations by choosing statistics?,True
@rapfarsibaza,2023-07-12T09:21:08Z,0,This was a great presentation . Thank you Alex,True
@aliyurtseven1733,2023-06-29T10:48:47Z,0,"That is a very great way of telling about the difference between data scientists and data analysts. I came across with more professional one 😅 I think this one is more like general differences https://youtu.be/Sb_z0fP3ZLA Here, they also adds future aspects of both in the ChatGPT world 😮",True
@damianooi8261,2023-06-26T06:07:53Z,0,so which one should i choose as a non-IT background person ?,True
