author,updated_at,like_count,text,public
@SanjayaKumarSahoo-gm5fu,2023-10-17T07:07:32Z,0,Bro so much probably 😅😅,True
@user-tk1et4zu3e,2023-06-30T02:35:07Z,0,"randomsplit is not working,showin  NoneType' object has no attribute 'randomSplit'",True
@darshanayenkar,2023-01-05T05:41:40Z,0,error: [WinError 10061] No connection could be made because the target machine actively refused it,True
@kush88soni,2022-12-16T05:49:03Z,0,What is Intercept?,True
@upendra35,2022-09-15T23:22:39Z,0,kuchh project karke bataa bsdk.... Bakchodi mat bataao documentation ki... Bkl,True
@usaikiran96,2022-05-22T17:07:12Z,1,"Hi Krish. Kudos to all your efforts for this good work. Kindly make a video on how to perform clustering, apply clustering algorithms, do topic modelling, apply NLP using PySpark. Really need it. Thank you",True
@thourayasboui376,2022-03-02T15:21:59Z,0,"Hi ! I got this error when executing ""output=featureAssembler.transform(training)"" age does not exist, available: name, age..., any help ??",True
@meenakshipandey1253,2021-07-22T05:30:59Z,0,Hi Krish. How can I populate table in RDS from glue pyspark job..I have one table in RDS MySQL Arora db  Now I want to insert some record in that table but using glue spark job,True
@vashistnarayansingh5995,2021-07-16T06:49:11Z,0,Can anyone tell me why there is 2 coeficent as y = mx+c has only one coeficent M and one intercept C?,True
@alihaiderabdi9939,2021-05-16T08:53:39Z,0,"superb sir, we are waiting for end-to-end development and deployment using pyspark. Keep going!!!! Thanks a lot sir!!!",True
@ashishbhatnagar9590,2021-05-15T07:51:45Z,0,awesome simply awesome. Thanks a lot for sharing,True
@abhijeetjain2098,2021-05-13T04:52:31Z,0,Thank you sir 👍,True
@hardikvegad3508,2021-05-12T15:37:24Z,1,Krish can you show us...HOW WE CAN USE PYSPARK IN A DISTRIBUTED NETWORK?....Thank you.,True
@ajaysaikiranpenumareddy9809,2021-05-12T12:48:09Z,0,'function' object has no attribute 'read' this is error i am getting when trying to read data set,True
@fairuzshadmanishishir8171,2021-05-12T09:04:39Z,0,please make  videos on distributed training,True
@samimtu8994,2021-05-12T08:07:26Z,0,"big fun bro. it is all clear when you speak, please prepare a  video on multimodal meme detection",True
@abhayjain5775,2021-05-12T04:36:06Z,0,You are doing great work. So easy to understand yout tutorials.,True
@ajaysaikiranpenumareddy9809,2021-05-11T18:26:03Z,1,God Bless U sir,True
@vipulbharadwaj618,2021-05-11T17:20:51Z,1,"Hi Krish, great video, just wanted to ask why can't we use sklearn ML algorithm with pyspark dataframe?... that way we can use spark data handling capabilities along with highly optimized sklearn ML algorithms",True
@garvitmehta2593,2021-05-11T15:17:39Z,5,"Hey Krish.... superb series that you are doing, I am trying to learn as much I can from your videos. Please do continue this good work. 👍",True
@shaik906,2021-05-11T14:47:09Z,1,I wan talk to you how will i approach to you please reply,True
@shaik906,2021-05-11T14:46:22Z,1,I wan talk to you how will i approach to me please reply,True
