author,updated_at,like_count,text,public
@AadityaAgarwal-qo1km,2024-05-20T12:12:23Z,0,I love when krish calls Hue as Huiii,True
@d39-nischithhegde65,2024-02-29T05:19:53Z,0,can you also include link to dataset used,True
@zainabzafari2336,2024-01-17T20:25:47Z,0,"Thank you very much for your great videos. However, this is the first video of your playlist that I could not understand. The dataset was not clear and you did not explained much.",True
@Guidance.8566,2024-01-14T06:14:52Z,0,"sir, what is web address you are using and is it free or paid please give some details about that also.",True
@ashukol,2023-09-27T07:54:31Z,0,"Line 17th code needs modification as follows: sns.FacetGrid(df,hue=""species"").map(plt.scatter,""petal_length"",""sepal_width"").add_legend(); plt.show()",True
@niraliborad7475,2023-03-16T13:32:38Z,0,After executing the same code for univariate analysis my output is not color distributed as shown in video. can anyone help,True
@vatsalshingala3225,2023-03-15T17:38:08Z,0,❤❤❤❤❤❤❤❤❤❤,True
@makanjudavid992,2023-03-07T16:02:20Z,0,Question: it is possible to use categorical features to make predictions for  a numerical targer variable ??,True
@sengnawawnghkyeng9179,2022-12-29T01:23:14Z,0,The best explanation about these variates ...,True
@re-cordinglyf7176,2022-10-18T14:06:37Z,0,I can't believe you pronounced it as hueee....😂😂,True
@krishnasahoo4598,2022-09-13T11:43:33Z,0,thank you so much for this..I dont know why I was unable to understand this concept. Thanks for this,True
@surge8307,2022-08-09T06:20:45Z,0,"Another easy way to do the bivaruate plot at 11:20 is sns.scatterplot(df['sepal_length'],df['sepal_width'],hue=df['species'])",True
@gokulansundaraj8149,2022-07-16T13:50:46Z,0,Wow...,True
@tanujsharma5492,2022-05-21T13:49:19Z,1,sir i think there is 'sepal length' instead of 'petal length' in xlabel. am i wrong or right??,True
@rahuldas6777,2022-04-02T11:31:51Z,0,why put semicolons after your lines of code?,True
@siddharthjain4361,2022-03-08T02:31:43Z,0,what if we have dimension in order of 100s...??,True
@souravsaha7751,2022-02-03T13:52:25Z,0,sir a virginica or versicolor kaya ha,True
@erumalibhatti1218,2022-01-14T17:11:02Z,0,Hi krosh what will be the codes for R for same analysis??,True
@sumantwankhede,2021-10-25T23:57:03Z,3,Just one tiny correction for Univariate x label should be Sepal Length ...all other good ..Thanks Krish,True
@SATISHKUMAR-bj2kl,2021-08-29T15:57:07Z,0,"sir evertime whenever i am running code then also error messege comes with ""name df is not defined""    can you please help me",True
@MageDigest,2021-08-26T06:44:49Z,0,"so from multivariate if we some graphs with overlapping variables like sepal length and sepal width, we can ignore one of them while doing any further analysis ? Please help here",True
@mlwithstats1703,2021-08-16T05:23:20Z,0,Sir how we can the data ???,True
