author,updated_at,like_count,text,public
@muhammadzeerakkhan6300,2021-06-22T23:25:07Z,0,Great session. Thoroughly loved it. Awaiting the second part of Best Practices for Data Science Project Development by CTO Sir Jiwitesh.,True
@teetanrobotics5363,2020-10-01T06:22:54Z,0,Sir could you please keep the live stream and interview playlists separate ?,True
@ranjiranju7759,2020-08-24T17:06:02Z,0,"Krish make videos like this...gud one krish..thanku jiwitesh u taught v.well , u wr v.clear nd chrisp...i hv started learning these technologies frm a month..btwn can anybody assist me with this...krish it would b helpful if u rply..right nw i m using laptop with linux ubuntu OS f 8gb ram and 1tb hard disk would it b sufficient as a minimum system requirement...fr developing ML nd DL projects krish???",True
@SpellboundHaven,2020-08-23T23:09:28Z,0,"Guys, Please do a video on the Story of a person without a degree become Data Scientist. I don't care whether it is a Successful one or not.",True
@sajidchoudhary1165,2020-08-22T09:14:16Z,0,"Sir Please makes video on Mathematics behind on  SVM Regression, AdaBoost Regression, Gradient Boost Classification",True
@rinkuu1111,2020-08-21T15:32:34Z,0,Sir I want to take ineuron course from Nepal  is this course online and could you please explain the internship opportunities ??,True
@nikhilm5150,2020-08-21T04:46:31Z,0,"Sir am from B.com background please help me with the Procedure,May I start from Statistics",True
@jaganinfo,2020-08-20T20:56:47Z,1,good information. need more videos end to end,True
@brishtidatta1567,2020-08-20T18:02:13Z,0,"Sir thank you very much. The session was very informative.  Sir, can you kindly make a video for the backpropagation of convolutional neural network (particularly for conv layer and pooling layer).",True
@PRUTHVI559,2020-08-20T17:25:57Z,0,Hi Krish hi sudanshu,True
@sameerg5068,2020-08-20T17:23:36Z,1,One of the best session very helpful 👍👍,True
@MohitGupta-sz2cv,2020-08-20T16:51:18Z,0,can you put the time line?????,True
@shilpaprusty3319,2020-08-20T16:39:06Z,1,Can we have a video on debugging in pycharm ?,True
@artifiedai8898,2020-08-20T16:38:27Z,2,Really good session. Very Informative.,True
@amarnathdhinakaran9522,2020-08-20T15:21:12Z,1,Hi Krish and Jiwithesh,True
@SpellboundHaven,2020-08-20T15:10:52Z,3,"Sir, Is there any hope for dropouts? Or we should start looking for some blue-collar jobs.",True
@amantiwari4264,2020-08-20T15:00:22Z,3,Thanku so much sir for this session,True
