author,updated_at,like_count,text,public
@debdutesarkar6370,2022-03-20T11:57:42Z,1,"It's very surprising that last 3yrs i am following and subscribe but don't know about ineuron project, great initiative,i want to shift my career from Pharma sales to Business Analytics,i haven more then 10yrs experience,do i get any good internship or project on Business Analytics in my Sector means Pharma company.",True
@harish8184,2022-03-18T17:35:33Z,1,"Hi Krish, when new batch of FSDS is going to start ?",True
@TechVeerendrasSoftwareTraining,2022-03-18T08:13:51Z,1,Hi krishh ..I want to learn machine learning..how much cost ?,True
@bp2807,2022-03-18T04:02:06Z,1,Hi krish Sir why have you stopped SQL videos,True
@pradeepsingh7807,2022-03-17T13:45:06Z,2,If there is Android app of ineuron please provide the link of it.,True
@nancysharma2849,2022-03-17T12:55:39Z,2,Is there any meetup in delhi or Noida,True
@sanket.hande9,2022-03-17T12:36:20Z,1,Is there any meet-up in another cities?,True
@learner8053,2022-03-17T12:16:04Z,2,Great !!!,True
@mouryasashank2213,2022-03-17T12:07:05Z,2,cool,True
@dhirajwagh5223,2022-03-17T12:06:55Z,4,"Hi krish, when will be iOS app will get published",True
