author,updated_at,like_count,text,public
@krishnaik06,2020-06-04T06:12:20Z,35,"Please note Pandas profiling will not work properly when u have many features in ur dataset. I tried some, ran out of memory.",True
@mansiupadhyay5387,2024-03-26T15:20:16Z,0,Im getting javascript error under variables section of the report. Any fixes anyone?,True
@Uma_maheswar_rao,2023-12-25T17:28:38Z,0,"sir can you make a video on reverse engineering. It will very help full for begineers,  please sir.",True
@kosanaraghusai6106,2022-07-14T16:57:01Z,0,"I had a doubt regarding EDA , for suppose I had a dataset that contains 3 folders , in that 3 folders I have files with  .jpeg  format. Now , I need to perform EDA on this dataset, and also Can I convert the data into csv file????",True
@albertopenalver1435,2022-05-07T14:24:00Z,0,Very amazing. Thanks for sharing,True
@sagarkawade2541,2022-02-15T06:10:02Z,1,wow how amazing the exploratory data analysis did in only few minutes . great sir thank u,True
@shankybatra5487,2022-02-10T14:14:00Z,1,"Hi Krish, This is awesome and it really reduced time in doing EDA. Just one question i have? When i am trying the command ""profile.to_widgets() "" it gives an error as "" TraitError: n_rows and n_columns must be positive integer "".  i tried profile.to_notebook_iframe()     and it works but i am not sure what happend with widget command.  please advise.  thanks",True
@Drkalaamarab,2021-11-20T17:48:15Z,0,❤️ Brilliant demonstration,True
@kilarunagarjun9277,2021-10-20T20:02:41Z,0,TraitError: n_rows and n_columns must be positive integer (Can anybody help me),True
@sandipansarkar9211,2021-10-14T20:52:42Z,0,finished practice but pandas profiling is not working,True
@sandipansarkar9211,2021-10-07T20:33:06Z,0,finished watching,True
@skyrayzor3693,2021-09-26T05:38:35Z,0,Thank you for sharing this thing this was very helpful,True
@shheyzu4532,2021-08-23T05:36:56Z,0,Anyone here who can help me I have a dataset on which I have to apply exploratory data analysis,True
@ashisrath7086,2021-06-21T08:43:17Z,0,"I was having some error while i was running it in google collab  RemoteTraceback                           Traceback (most recent call last) RemoteTraceback:  """"""",True
@mdyousufuddin,2021-06-03T23:34:48Z,0,"Amazing, Saved a lot of time. ThankYou very much..........",True
@jagrutisheth1996,2021-06-03T06:15:11Z,0,"Something amezing I learn today, Thank you so much",True
@rohandas1478,2021-05-28T15:59:14Z,0,This is really cool.!!!!,True
@sreshtasharon1002,2021-05-20T14:13:50Z,3,I haven't seen any DS YouTube channel better than this ..hats off Krish!!,True
