author,updated_at,like_count,text,public
@statquest,2022-05-08T19:19:39Z,14,Support StatQuest by buying my book The StatQuest Illustrated Guide to Machine Learning or a Study Guide or Merch!!! https://statquest.org/statquest-store/,True
@YiqianWu-dh8nr,2024-05-17T09:08:31Z,1,简单易懂！谢谢您！！！！🤩,True
@Targearean,2024-05-09T21:37:13Z,2,Wonderful lecture! I liked the way you taught.,True
@dharmeetsinghgulati181,2024-05-03T17:24:26Z,1,What should be a good starting point for finding the max number of leaves and depth of the tree and By the way love your videos😍😍,True
@xiaoyongguo1133,2024-05-03T15:23:52Z,0,around 4:27  the tree is not properly constructed.,True
@UnahThankgod,2024-05-02T14:36:24Z,0,Please can we get the images used in the video?,True
@duydangdroid,2024-04-27T01:48:45Z,0,20:05 Green line looks like 57 average for women. Average for women was given as 12 shortly after.,True
@jackfrost8969,2024-04-21T14:54:47Z,1,Excellent explanation.,True
@Valentin-ty5nl,2024-04-21T07:52:37Z,1,that's a banger my friend,True
@user-cg1kg4gn3h,2024-04-20T02:14:48Z,0,"In finding the root with lowest SSR for multiple variables, about the Age splits , Is it just the same method as the video ""Love Cool as Ice "" Age split method, right  ?",True
@musicalive1782,2024-04-12T17:05:02Z,1,Great explanation,True
@user-cg1kg4gn3h,2024-04-12T13:21:38Z,1,"I can understand for the first half episode only . Root Dosage <14,5 ; Ag >50; Sex =Female . But Not understand Age >50, Dosage >29, Sex=Female ?? Why u changed the root ?",True
@bitschips,2024-03-14T00:38:44Z,1,Thanks for time and nice cristal definitions,True
@jagjyotsingh8456,2024-03-10T01:44:36Z,1,Lots of love from the MBA cohort @ University of Maryland college park 🌹❤️,True
@user-wh4qj2ob9t,2024-03-04T16:06:59Z,3,"John, I just bought your book. Not because I need it, but because you deserve it. God bless you, you are godsent. you explain ML 10 times better than my professor",True
@pooriasalehi5402,2024-02-16T22:01:55Z,1,tnx from bottom of my heart !!!!,True
@angelost1467,2024-02-04T19:38:18Z,1,BAM indeed - you Sir are a master!,True
@AceStories007,2024-01-28T13:02:49Z,0,"00:05 Regression trees are used when fitting a straight line to the data is not useful. 03:07 Regression trees can accommodate multiple predictors and make accurate predictions. 06:05 Regression trees can easily handle complicated data and provide accurate predictions 08:46 The tree predicts drug effectiveness at 38.8, but the observed effectiveness is 100%. 11:49 Splitting data into groups based on thresholds with the smallest sum of squared residuals 14:51 Regression trees predict drug effectiveness based on dosage 17:48 Regression trees are built by finding thresholds that minimize the sum of squared residuals for each predictor. 20:11 Regression trees are a type of decision tree where each leaf represents a numeric value. Crafted by Merlin AI.",True
@michaelcolacino8602,2024-01-27T23:33:21Z,1,Thanks!,True
@Thedavidkuz,2024-01-18T22:06:35Z,1,Love the sound effects 😂,True
@MrGaurav331,2024-01-16T10:11:24Z,0,So Is decision tree regressor  sensitive to outliers since we are taking average ? On the other hand decision tree classifier handles missing values and outliers.,True
@alienmathology6251,2024-01-14T07:50:04Z,1,"Treasure for anybody , interested to learn statistics and statistical learning.... thanks a lot josh the effort you put behind the lucid explanation ...",True
@wtfJonKnowNothing,2024-01-11T01:22:39Z,2,Bro really got a million subs just for entry songs.,True
@majodigu3272,2024-01-10T11:21:46Z,1,F amazing,True
@vimalk78,2024-01-09T18:28:55Z,0,"Do you have any video which doesn't have a pre-requisite? i wanted to learn about xgboost because we will be using it in a project. But...   ""XGBoost"" needs ""Gradient Boost""  ""Gradient Boost"" needs ""Regression Trees""  ""Regression Trees"" needs ""The bias/variance tradeoff"", ""Decision Trees"", and ""Linear Regression""",True
@LMessii10,2024-01-03T17:27:45Z,13,"Added more value than a fricking Harvard or Standford course in less than 15 minutes. Great job, I am forever greatful Josh !",True
@farzadhosseini1092,2023-12-30T22:52:15Z,1,"Thanks a lot for such a excellent tutorial, but I have a question, why there are different values of ‘Dosage’ feature in single and multiple predictor when dosage is >= 29(2.5 & 20 effective respectively), thanks for anyone that can help me",True
@darshangaming1343,2023-12-21T09:13:17Z,1,bam.,True
@thienan7206,2023-12-19T07:48:40Z,0,"Hi, great video, just one question: In the last example of building with multi-variables, on the right side of age > 50, if  there is an age > 60 (for example) has the lowest SSR then , then it will the node in this case is age > 60, or one type of variable just appear once, I'm a bit confuse at this? Thank you",True
@DhruvSondhi05,2023-12-10T05:46:49Z,1,You are an awesome teacher. Thank you!,True
@cesarp1940,2023-11-19T16:31:55Z,1,Wow…This is by far the best explanation about this topic. Thanks Josh,True
@scottlapierre1773,2023-11-08T16:24:12Z,1,Such great stuff! Thank you!!!,True
@sujithsaikalakonda4863,2023-11-03T12:20:29Z,1,Wonderful explanation sir. Appreciate the efforts.,True
@eyebrowshippo,2023-11-03T12:08:16Z,1,BRO  I WAS ENLIGHTENED,True
@user-yr9sf2yr3n,2023-10-31T00:38:47Z,1,amazing video,True
@user-jj3we9jv9i,2023-10-28T20:59:23Z,1,Liked and Commented to help you with the youtube algorithm.,True
@AnikaNeela,2023-10-08T15:44:00Z,1,Absolute life saver videos!! 😅,True
@shibendrasingh497,2023-10-04T03:59:09Z,0,Can we use Segmented regression instead? Would it give better result than Regression trees?,True
@sakunthadevakagunarathna8174,2023-10-03T04:36:46Z,1,"This is awesome, Thanks for explaining Regression Trees clearly.",True
