author,updated_at,like_count,text,public
@ClashalongKiru,2022-11-26T18:06:13Z,0,Can anyone suggest me a course as fresher and i am from non it field,True
@vijaykumbhar1657,2022-08-15T18:59:44Z,0,sir i need ur help plz help me for this recently i join course from simplilearn course name Data scientist Job guartee programe but now i am confused tht this course is real or fruad i will get 100%job or not plz sir i want suggestion from you,True
@ameerali9350,2022-08-15T15:14:43Z,0,"ineuron given you more then i paid that is 3500/-  QUALITY CONTENT ;high class mentors ,top noch support....and more",True
@TechLearnerbyAnupam8858,2022-08-05T16:53:20Z,0,amazing sir as always,True
@FTRASARAVANAKUMARB,2022-07-21T10:42:43Z,0,Ui/ux job plz,True
@ajayjaisvaal6825,2022-07-21T03:03:20Z,0,"hllo sir  maine skill lync platform se 2lakh ka data science ka course liya hai but mujhe kuch samj nhi aa rha kuki yea log sirf recorded vdo bhejte hai but koi live session nhi hai maine complain kiya uss platform p but woh bol rhe hai k course cancel ho jaaega but emi process band nhi hoga aapka paisa deduct hota rhega , sir kuch samj nhi aa rha kaise niklu me iss platform se",True
@nusratjahan1039,2022-07-20T19:26:27Z,0,When the next FSDS batch will be start?,True
@nusratjahan1039,2022-07-20T19:25:29Z,0,"Sir If I join FSDS may batch now, will I be fall behind? Won't it be problem?",True
@nusratjahan1039,2022-07-20T19:23:23Z,0,please available remote job 🙏,True
@explorewithskp1237,2022-07-20T13:58:37Z,0,Excellent feature sir waiting comes to an end 🙏🥰,True
@CentralInbox,2022-07-20T12:48:00Z,0,No freshers jobs available,True
@jvjplus,2022-07-20T05:35:35Z,0,Please reduce the tech neuron course price. It became too expensive now.,True
@deepthapa5957,2022-07-19T17:13:05Z,0,"Such quality and abundance of knowledge , ineuron is sharing with us , I recommend whooever is going through this comment section to enroll without any second thought. Im a FSDS student , im more than satisfied. <3",True
@sarveshmahajan1114,2022-07-19T15:25:47Z,0,Sir most of the job here are requiring experience of 4 to 6 years please bring more jobs for freshers,True
@fariaabid1682,2022-07-19T13:20:05Z,0,"Hi krish,I'm from Bangladesh. I want to enroll full stack data science course..but I'm confused about job placement. Does this course provide me internship as I'm from Bangladesh?",True
@kartikzombale4392,2022-07-19T12:47:00Z,0,one who is not the member of ineuron can also apply for the jobs ?,True
@mainlykanchan8740,2022-07-19T12:20:49Z,0,Thanks,True
@naveenchatra7021,2022-07-19T11:40:32Z,0,"Hi Krish, Is there any course on Pyspark specifically ? I would like to enroll for a crash course on that ! I am big fan of your videos btw",True
@nawazzz_23,2022-07-19T11:19:54Z,0,Sir do you offer Industry ready cybersecurity program?,True
@vishwaradhyapatil2412,2022-07-19T10:47:10Z,0,Hi sir plzzz teach PowerBi in hindi,True
@reddymekala8549,2022-07-19T10:43:32Z,0,Is it for fsda batch also?,True
@Creation38652,2022-07-19T10:14:15Z,1,I haven't enrolled any courses in ineuron. But i have completed data science from Simplilearn. Can I apply through your job portal or do I need to enroll any courses to access job portal?,True
@onepiecefan4316,2022-07-19T09:52:42Z,1,Hi Krish please tell me i accept one offer where clause is mentioned if i not join them i have to pay 2 month ctc salary but i get a good offers so will you help me how to deal to this please?,True
@rohandarji4942,2022-07-19T09:36:05Z,0,Great initiative 🙌👌,True
@nitin3653,2022-07-19T09:09:41Z,0,Boom🔥🔥🔥🔥🔥🔥,True
@armanpatel2115,2022-07-19T08:25:13Z,1,"""Sorry :( This website is only available on desktop devices."" Even on a ChromeOs full Desktop Chrome Browser, Sir please fix it.",True
@madhavluthra1940,2022-07-19T08:22:44Z,1,Please add internships too.  Thanks for doing great work Krish sir. 🙏🙏,True
@prathapsayz,2022-07-19T08:04:56Z,0,Long Live iNeuron 👏,True
@prakharagarwal9448,2022-07-19T07:46:28Z,1,Still the tech neuron courses need to be updated. The live classes are yet to be updated. It's showing 7080 for some of the courses.,True
@sunnygawande5283,2022-07-19T07:42:30Z,1,Difference between one neuron and tech neuron?? I have one neuron subscription,True
@info_atranjitha,2022-07-19T07:38:51Z,2,Hi krish sir.. I joined for fsda course... I just love the course and want to learn data science as well from ineuron .. Thank u and i hope I will get good job,True
@skg1420,2022-07-19T07:25:19Z,0,Sir internship can do anyone because I have not enrolled in any courses,True
@carnagethakur2368,2022-07-19T07:19:59Z,0,Amazing as always,True
@sasidhardadi2335,2022-07-19T07:01:02Z,0,Thanks for bringing a new feature which is very helpful for us.,True
@pavan4620,2022-07-19T06:56:45Z,10,"Sir, I am a student of ineuron and hada gap of arnd 3 yrs. But with the help of sudhanshu sir ,Krish sir n the amazing team at ineuron was able to geta a job as a data scientist. Thanks a ton to ineuron. Keep growing, keep educating.",True
@artsofdeeplearning902,2022-07-19T06:56:35Z,0,Me also in Hall of Fame ..,True
@ajmaurya1492,2022-07-19T06:54:07Z,2,Whatever you bring for us really appreciable 😊 Job portal is only for experience person or fresher too ?? Thank you Sir !,True
@gauravshrivastav6807,2022-07-19T06:53:05Z,0,Thank you for the portal.,True
@VivadiMusic,2022-07-19T06:52:13Z,0,Congratulations 👏,True
@ravikiranmarkad5242,2022-07-19T06:52:11Z,0,ineuron doing well,True
@techdanny8554,2022-07-19T06:51:15Z,1,iNeuron ….LinkedIn.,True
@arslanalvi1405,2022-07-19T06:50:56Z,2,Amazing initiative 👍🏼 May I know please that people from other countries can apply too for internship / job remotely? Will International people be accommodated?,True
@srinivaasm.b.8093,2022-07-19T06:50:40Z,0,the job portal does not open from laptop. Can you change that.,True
@dhananjayghussar4350,2022-07-19T06:48:58Z,0,Why the amount of one tech ineuron course is got doubled??,True
@Nikhil-qi4oz,2022-07-19T06:48:30Z,0,😊❤ you are the best😊❤,True
@hayarizvi5205,2022-07-19T06:47:22Z,2,Is this for data analyst also,True
@nagrajwellness9720,2022-07-19T06:46:19Z,2,Dashboard website looks osam sir website looks completely dynamic,True
@aakashpatwa4941,2022-07-19T06:45:24Z,2,"Please add scrum master , business analyst, PMO such jobs too",True
@kaustubhkapare807,2022-07-19T06:45:23Z,0,🙏🏻🙏🏻🙏🏻🙌🏻🙌🏻,True
@nagrajwellness9720,2022-07-19T06:45:20Z,2,Sir one corn of this website no remote jobs and no jobs for freshers,True
