author,updated_at,like_count,text,public
@upendrakumarpanda9009,2020-07-11T03:00:31Z,0,"Thank you Krish, feature engineering and statistics video count shows very less for me in your play list... Did I miss few more videos ..   Not sure if the playlist was rearranged. Please confirm.. Thank you",True
@kundanalanka2936,2020-06-30T10:02:22Z,0,Please explain in which order playlist need to referred to complete data science,True
@nishu761,2020-04-01T09:12:48Z,1,🙏 God bless you my man ! 👊🏻 respect.,True
@sejalchandra2114,2020-03-30T14:53:53Z,0,Sir make video on bias and variance of all algorithms,True
@randomdude79404,2020-03-29T22:40:48Z,0,"Which one should be watched first  , Complete machine learning or deep learning ?",True
@satishmuppidi1412,2020-03-27T12:30:11Z,0,Sir please check statistics play list.. The sequence is not correct.. please modify sir,True
@ashwinraj8918,2020-03-26T19:57:23Z,0,Really helpful. Thank you sir,True
@sashpatra88,2020-03-26T11:57:16Z,2,I am going through your ML playlist and found that Tutorial 44 is missing in this playlist. However I could find Tutorial 44 in Statistics playlist. Can you please tag it to ML playlist so that it will be useful to others who are following the same ?   Thanks a lot for your amazing work :),True
@laveshmarathe4401,2020-03-26T08:02:03Z,0,ty sir from bottom of my heart,True
@analyticstamizan677,2020-03-26T07:40:40Z,0,You are my inspiration sir love from TN💥,True
@shreeyaraychoudhury3531,2020-03-26T07:26:33Z,0,Thank you sir .,True
@creativestudio6946,2020-03-26T07:18:12Z,0,Thank You Sir 😭😭😭,True
@sumairarounaq3394,2020-03-26T06:48:47Z,0,Really appreciate your effort.,True
@divyakamat4869,2020-03-26T05:59:20Z,0,"Hi Krish, please can you add a video explaining the shapes of data in deep learning, how do we know what shapes to pass in each layer, how to deal with shape mismatch and how to reshape those before passing to frameworks like Keras, tensorflow etc",True
@sparshkapoor8517,2020-03-26T05:25:13Z,0,"Sir, you are great. You are bringing some major revolution in Data Science fraternity.",True
@EduljiBharucha,2020-03-26T05:14:49Z,1,Great stuff!  Really appreciate your efforts.  Thank you.,True
@krishnamohantiwari3905,2020-03-26T05:12:24Z,0,Thanks u krish ...u really deserve respect,True
@arrow_the_keralite.1433,2020-03-26T04:24:47Z,0,Thanks a lot sir.,True
@chandadhaduk5138,2020-03-26T02:47:33Z,0,Thank u sir 🥰🥰🥰,True
@jaysimhasindhanoor,2020-03-26T01:50:08Z,0,Thanks a lot krish for segregation it will save our time,True
@mujeebrahman5282,2020-03-26T00:46:00Z,0,please make a video to create AI chat bot in jupyter notebook,True
@sandhyapanduranga4284,2020-03-26T00:03:10Z,0,"Hi @Krish, could you please reorder your Data Science Projects playlist as well?",True
