author,updated_at,like_count,text,public
@strikingchords3213,2021-12-15T04:37:57Z,0,"I’m basically from ece background and working in telecom department and not having any IT background, how can I become data scientist",True
@abhaykumaramanofficial,2021-12-06T04:05:33Z,0,Great motivation sir...,True
@bhanu0925,2021-06-04T11:29:59Z,0,Inspirational. It made me to think positive now. Thank you for this kind of motivational videos.,True
@AndroapkzoneBlogspotInapps,2021-05-10T20:37:30Z,0,How to apply and what's the fees of data science course?,True
@anupdas5158,2021-03-26T21:56:57Z,0,the interviewee knows how to criticize and find faults yet also knows how to appreciate as well..i think no one in the world can provide at that price what ineuron is providing which is genuinely helping the poor and who cannot afford expensive courses,True
@nomoremystery3946,2021-03-02T12:11:44Z,0,Actually a good interview how to use the word actually better than anyone else,True
@akashchandra2223,2021-02-19T21:39:07Z,0,Is it to late to learn programming and get into cs related careers at 26,True
@arvindchauhan3038,2021-02-19T18:27:12Z,5,This is really motivational video. I have around 10 years of experience and looking for the transition and really proud to be iNeuronian and will make this transition for me also in next 3-4 months.,True
@abhimans628,2021-02-19T09:51:02Z,2,Can people from business management background learn python or make journey towards data science,True
@Raja-tt4ll,2021-02-18T19:26:10Z,1,Nice,True
@rnflutes2399,2021-02-18T15:26:37Z,9,In his LinkedIn he has been working as data analyst and in this field from 2014 🙄🧐,True
@SasidharKhambhampati,2021-02-18T14:58:49Z,6,"success after 20 failures..thats very great sir..and very inspirational ...at least for me, as I am also in your track now with 15 years of experience and looking for transition...All the very best sir..",True
@smile93,2021-02-18T14:32:00Z,4,If I am preparing for exam like IELTS....should I start Data Science class also with it?? If i am able to give 3 hours to it per day...would that be enough ?? Or should I just stick to one as I have applied for canadian PR and I need to prepare for IELTS,True
@santoshhonnungar5543,2021-02-18T14:17:48Z,5,So many actually in his statements..,True
@santoshhonnungar5543,2021-02-18T14:16:15Z,3,What he is telling not proper,True
@AmitSingh-wi8iv,2021-02-18T13:50:27Z,3,Congratulations 🎉🎉,True
@zubairbagdadi5584,2021-02-18T13:30:21Z,3,"Quite motivational video, perfect much needed...",True
@sandeep4733,2021-02-18T13:09:54Z,2,Inspirational. Great work,True
