author,updated_at,like_count,text,public
@coreyms,2019-02-26T16:01:21Z,328,"My next video will be a real-world example of a script I wrote to monitor my personal website. We'll use the Request library to monitor the site, and if it is down then we will learn how to send an email and automatically restart the server. I hope everyone finds this useful! Hope you're having a great week!",True
@zeefzero4320,2024-05-16T06:29:31Z,0,"People that are looking for the timelines, just read the docs lol",True
@GPTstore.,2024-05-10T23:06:48Z,0,pycharm > sublime,True
@kuark5290,2024-05-03T20:56:55Z,0,where tf are the timelines i cant watch 25 min video,True
@jeremyflowers8908,2024-04-26T12:34:24Z,0,Wish you had added timelines,True
@collin-lj7ho,2024-04-22T19:22:25Z,0,I’m totally doing legal things with these !,True
@ayansh449,2024-04-14T06:50:55Z,0,great! very nice topic explanation ......,True
@uo1.,2024-04-02T00:41:09Z,0,test,True
@Islamike,2024-03-15T18:08:18Z,1,Thank you boss,True
@kapibara2440,2024-02-27T18:09:03Z,0,"Super useful material, thank you ❤",True
@abc-ey4ld,2024-02-20T11:23:13Z,0,"Corey, if you get a chance, do you have a tutorial for the bearer token authentication?  Right now modern infrastructure uses bearer auth in most cases.  Or could you explain it in the comments section here?",True
@robertocardenosa493,2024-02-14T00:49:41Z,0,This is a great video. I plan to test its examples within python. The only thing I missed was the Patch command.,True
@hamirumar,2023-11-27T17:42:16Z,0,THANKSSSSSS 🎉🎉🎉,True
@munish259272,2023-11-15T01:06:15Z,0,23:33,True
@WaliaIbex,2023-11-13T09:58:25Z,0,you are out of scope  man What happened to you ?🙄,True
@dwsnyder63,2023-10-29T19:39:19Z,0,"Latest Macos, latest Python installed, latest pip installed.. when I do list command the latests request package is listed.  Following this video up to 2:57... when I run module I get   ModuleNotFoundError: No module named 'requests'. Please help or direct to help. Thanks",True
@normoforan1444,2023-10-19T16:16:50Z,0,"If you send a GET request to Merriam Webster online of ""BEAST MODE"" you will get back a png of Corey!!! 😂 Super job Corey, your videos are always uber understandable even to a neophyte such as myself!!!",True
@potatobot2802,2023-10-01T02:21:43Z,0,Thank you so much Corey for your time!,True
@ramonmonda,2023-09-30T21:33:53Z,0,"Hello Corey, I'm Brazilian and your video helped me a lot with my project! Thanks for the class! 👊",True
@abdokotb9504,2023-09-30T06:54:19Z,0,Thanks a lot for this tutorial,True
@Gibbits5.7,2023-09-24T02:41:23Z,0,i installed requests with pip but when i import it in my code there is no module named requests,True
@kianushghahari3038,2023-09-03T20:09:26Z,0,"Hi, thank you for the thorough tutorials. As a beginner, I really appreciate your work very much. Did you ever post the the videos you talked about here as your real world example of a script for your personal website? because I wasnt able to find it...",True
@MH-yd3gz,2023-08-31T16:09:16Z,0,text,True
@MH-yd3gz,2023-08-31T16:07:27Z,0,Test,True
@pinur_paglami,2023-08-26T12:13:58Z,0,"hi corey, i am trying to automate generating linkvertise links. i used selenium. but thats slow and consumes loads of data (3rd world mobile data user here)  i am a beginner and barely understanding client to server communications. i have no idea of post or get requests till now. Linkvertise does not provide public api. im thinking of srudying the network output and build them into steps in my code.   if you could post a tutorial if that approach is possible, would be very helpful",True
@kakhabervk9405,2023-08-12T17:01:56Z,0,👍,True
@bluex3632,2023-07-19T06:40:54Z,0,🥰👍,True
@user-kv2hn7xq5s,2023-06-27T10:59:05Z,0,Http status codes 200s: Success 300s: Redirects 400s: Client errors (no permission to view) 500s: server errors (site crash),True
@user-cm2ml4zl2c,2023-06-06T17:17:36Z,0,How do resolve if the response status code is 401?,True
@vijaysheri7390,2023-05-29T12:44:17Z,0,"Awesome stuff, thanks. Can you please do a video on logging for just requests ?",True
@mariamhasan3733,2023-04-20T14:41:33Z,0,Excellent explanation!,True
@raghur713,2023-03-22T14:56:56Z,0,Why you disabled the subtitle[cc] option??,True
@chainenaimslama1870,2023-03-22T13:53:06Z,0,nice very good just i want to know if you have a solution to read feeds from thingspeak by iotbit because i do my best but i don't succeed using either makecode program or micropython one for microbit connected to my iot bit1.6 help please thx in advance yours trully,True
@joeking5211,2023-03-16T13:13:40Z,0,"Absolutely super, well done, very well paced. Thank you for this, learned a lot.",True
@TonyShasta,2023-03-15T06:13:41Z,0,"Bye bye Udemy. Hello, Corey Schafer 👍",True
@carloseortega,2023-03-09T20:40:33Z,0,"Thank you so much for your content. I just discovered your channel and i have already learned so much in every video i have watched. I do have a question i was hoping you can help me with. I am trying to get the html code of an airline's homepage with requests. And for some reason no response, nothing is coming back. It is just hanging there. I cannot understand why. This is the homepage so it doesnt require any authentication. Would it be possible for you to tell me what is going on?  Can you make a video about requests and cookies? I wonder if it has to do with that. The airline in question is Alaska Airlines. Thanks",True
@doncoleman2521,2023-02-08T18:59:43Z,0,Good job!,True
@abdallaemad2779,2023-02-04T10:26:39Z,0,how i can connect with u,True
@CoolRubiksCube,2023-01-28T14:12:37Z,0,"How come this is not working for some websites, seemingly at random?",True
@stelity,2023-01-10T00:39:37Z,0,You talk way too much. I started day dreaming watching your video... feels like I'm in high school again,True
@ananyamahapatra6597,2023-01-05T20:32:37Z,0,😍😍😍 hey Corey… u are just the best 🥳,True
