author,updated_at,like_count,text,public
@statquest,2022-05-07T18:58:15Z,0,Support StatQuest by buying my book The StatQuest Illustrated Guide to Machine Learning or a Study Guide or Merch!!! https://statquest.org/statquest-store/,True
@user-gp3ts9ib6f,2024-05-23T07:35:26Z,1,Thank u for your knowledge sharing. This video is helpful for me.,True
@alinaastakhova8412,2024-05-20T13:02:45Z,0,"Thank You for amazing explanation, still I am a little confused. On 4.10 of the video You have the probabilty for a mean >=0.5 as 0.48 and on 5.02 of the video the probability for a mean >= 0.5 becomes 0.47... How is that? And for the median - how do You get the probability for a median >= 1.8 as 0.01. How is that calculate once the bootstrapped distributions for medians does not go beyond ~ 0.5 units? Isn't the calculated probability simply a portion of the distribution beyond the given value (like 1.8 for the median in our example)? What do I miss?",True
@saeidsas2113,2024-05-19T14:02:35Z,1,I finally did it for my real problem case.,True
@PeteHwang,2024-05-06T02:43:10Z,0,"Hi Josh, thank you for the great video. I had a question at 4:57. Why do you look at the probabilities of observing means ≤ or ≥ ±0.5 in the bootstrap distribution?",True
@DrThalesAlexandre,2024-04-27T14:11:56Z,0,Amazing video!  Any ideas on how to make bootstrapping run faster on python? It starts lagging once you are doing > 10^5 trials with large sample sizes.,True
@saeidsas2113,2024-04-26T22:09:54Z,0,"Hi Josh, I have a question, how I can contact you and ask my question?",True
@PunmasterSTP,2024-03-22T13:23:13Z,1,Q: What's the significance of a urine test?       A: The p-value!,True
@joeguerriero3841,2024-02-10T17:28:57Z,0,"but how would you do this for a test statistic (like a correlation coefficient), where creating a ""null data set"" from which to resample is not as straightforward as just mean-centering the data?",True
@juanete69,2024-02-07T17:16:25Z,0,How do you use bootstrapping when you have several variable? For example for a regression model. How would you use it to test the standard deviation?,True
@rissalhedna5534,2024-02-02T17:00:08Z,1,Amazing video as usual! I just was wondering why the value of 0.05 was used as a threshold for the p-value. Was it just arbitrarily set or did we assume that it was meaningful for our experiment with the drug ?,True
@AkashSiddabattula,2024-01-05T05:56:17Z,0,"please reply!! when you were calculating the p value i think we were supposed to find the p value supporting the null hypothesis and if that value is less than 0.05 we can reject the null hypothesis, but here you were calculating the p value of observing mean value of 0.5 or something more extreme and i think this is not supposed to be null hypothesis, then if we get a p value of greater than 0.05 of observing the mean >=0.5 that means often we will get mean >= 0.5 which means drug is having some effect. This is what i understood can u explain?",True
@mattsmith4027,2023-12-19T09:08:38Z,2,"Literal black magic. Cheers so much for making this I had some data that was a pain in the butt to get and Im trying to pull all I can out of it, this really helped!",True
@XoCortanaXo,2023-09-15T17:32:04Z,1,"This is exactly what I was looking for, thank you!",True
