author,updated_at,like_count,text,public
@user-fp2xb2ee8i,2023-04-24T17:35:10Z,0,Good video my friend,True
@Chris-ym2mm,2022-03-17T19:55:04Z,0,How do you control it with an app?,True
@andressalazar2436,2021-11-10T11:46:13Z,0,Cool beans. Thanx,True
@buffallogamers7880,2021-06-27T15:54:21Z,0,can you please name the parts you used for your robot,True
@prashantmehta2832,2021-01-13T21:19:21Z,0,"Hi, can we do it with Arduino?",True
@jpianoplays_24,2021-01-02T20:45:09Z,0,What (other) equipment are you using? Where do I get it??!?,True
@venkatakrishnannaidukuna3155,2020-12-24T13:30:02Z,0,I want to put a distance sensor on all the four sides of my GoPiGo. What will the ID of the remaining three be? Thanks in advance!!!,True
@digitalrookie5813,2020-10-28T12:57:08Z,0,Where did you get the blaster on top of the robot from?,True
@coderttpo2,2020-08-26T13:15:23Z,0,cool :),True
@dailychillvibe6012,2020-08-24T21:23:22Z,0,Can you list the hardware ?!,True
@denizilkme6907,2020-07-16T07:48:59Z,0,Hi I am Deniz from Turkey.I would like to design robot using pyhton programming for bachelor degreee thesis.Do you have any suggestıon?,True
@sigmoidrochade9310,2020-05-18T15:42:43Z,0,use    def sleep():    time.sleep(1)   sleep()   instead and it will work,True
@phillipsandgren3094,2020-04-21T09:03:17Z,8,When he laughed at his first attempt I lost it😂,True
@afolabikolade7836,2020-03-15T09:03:44Z,0,I love robots.,True
@Fullrusher,2020-01-28T21:48:48Z,0,Lol omg this was so cute,True
@panyambadrinathreddy3048,2020-01-28T02:56:22Z,0,hey sentdex u r amazing. can u make a video on how to use the keywords  to run a robot its our request . please respond to my comment,True
@frankreiserm.s.8039,2019-11-20T12:13:01Z,0,"To prevent it from getting too close to the wall, slow it down.  Those LASER and receptor LEDs are not sensitive enough.  Good job!  Better than my disfunctional robot that did the same thing but without a program (built in 1991).  Frank Frank Reiser Video/Audio Service",True
@reactionvideo3395,2019-09-12T06:46:51Z,0,"Sir, can you say what item did you program a robot?thanks what apps did you program? Thanks",True
@atanki5682,2019-07-08T04:30:22Z,1,"Hey guys  I need help, I have programmed a lot in Javascript python, c++ and more but how do you program robots and I mean how do you set it up like what do you do to access the rc car or robot",True
@utahaleerobotics6752,2019-05-17T16:23:01Z,1,my heart cold,True
@c8rmodels171,2019-02-07T13:52:38Z,0,Btw didn't know matpat do programming,True
@c8rmodels171,2019-02-07T13:38:47Z,0,Dummy question: what does the line dist = us_dist (15) do?,True
@darleyt1,2018-12-11T18:55:44Z,1,sentdex your a legend,True
@tinespotgieter3552,2018-09-20T19:12:39Z,1,"SentDex, great vids. i followed your example to build my, 1 thing, o print my left_dir and right_dir they are always exactly the same. Tried time.sleep but still remain the same, doesn't take a new reading. Any idea how i could fix it?",True
@ibnulkayasnasim7778,2018-07-13T16:51:22Z,6,How make this Project? Tutorial plz,True
@rexfarell,2018-06-21T01:28:47Z,1,"sentDex's tutorials are  the best, they are serious, professional, and scientific unlike the other youtubers who claim to give  you an immersion of five minutes into python.",True
@revellights1000,2018-04-19T19:30:20Z,0,"I realize this post is nearly three years after you posted your video playlist.  Thanks for all your help with your Pi robot videos.  More useful than you might think.  How do you ensure that your Pi, the SD card, and/or the Python program are not corrupted when you unplug the battery (or it goes dead)?  I've tested my Pi when powered by the 5.1V/2.5A corded power supply, by just pulling the plug when the Pi is on.  The Pi does then boot up Ok when I give it power again.  But, shutting off power to an computer generally is not a good idea.  I haven't seen any video of a Pi robot that shows how the builder resolves this.  Thanks.",True
@johnstreety642,2018-03-12T15:29:25Z,0,"Do you have any idea why this program and your others would not be compatible with the GoPiGo3? I understand that the GoPiGo3 library is completely different, but I would think things would still be ""forward compatible"". When I tried to use your program on the GoPiGo3 everything worked but the motors  I am teaching a Robotics class in a middle school, and I wanted to use your videos to help me teach them. In addition to this, is there some way I could get a list of the commands from the GoPiGo3 library? I thought you would know because you seemed to know a lot about the GoPiGo library.",True
@MACHINEBUILDER,2018-01-24T04:21:47Z,1,".... I know this was 3 years ago, but you know you could have done : rotation = random.choice([right_rot, left_rot]) rather than: rot_choices = [right_rot, left_rot] rotation = rot_choices[random.randrange(0, 2)]",True
@overratedprogrammer,2017-11-07T02:20:32Z,0,Do you know where I can find documentation for GoPiGo3? Specifically for controlling the ultrasonic sensor?,True
@romainecommerce9406,2017-10-16T21:41:27Z,0,it was awesome !!!,True
@ArtecCoLtdEn,2017-10-12T00:21:28Z,0,Hello! Great video! We are the No.1 educational materials manufacturer in Japan! Please come and watch our videos on our programmable robots too! :),True
@bjorne5836,2017-10-01T13:53:20Z,0,+sentdex do this work on gopigo3?,True
@jimmykan7873,2017-09-10T19:36:37Z,1,"Will this code work on GoPiGo 3? Thanks,",True
@9dra9on9,2017-07-09T17:14:27Z,0,Okay could you please help me. This is my very first time learning about this and I'm extremely interested in constructing and programming my own robots based of transformers.. But anyway based off just viewing; my thoughts are so you need a program set up to the robot (somehow) and then you just type into the program what you want the robot to do?? But how do you know exactly how to type it? Is there a certain coding that goes into that?,True
@dimitryslovak7508,2017-06-27T00:01:31Z,0,"Wow!, Thxs for the video!.",True
@ihsankundup6718,2017-06-17T16:02:43Z,0,could make a video with ardunio uno pls?,True
@wednesdaysangel1,2016-11-24T20:29:48Z,0,"very cool, thanks for the video. I like to see the things that people can do with a Raspberry Pi.",True
@davethecs6364,2016-06-18T19:24:48Z,0,+sentdex i use 3.6 python and gopigo dosent work,True
@confusedwhiteguy4475,2016-05-10T01:24:03Z,1,Damn sentdex. you're awesome man.  I've watched so many of these and I keep running into your awesome tutorials and you pushed me up through the basics to sqlite3 helped me in my job and now I'm watching robotics tutorials from you.  yesss haha thank you man!!,True
@hiwotyirgu8099,2016-01-30T15:51:38Z,1,"Hey sentdex, does work without because I will not buy the GoPiGo it is still expensive.",True
@iceslim01,2016-01-11T23:17:35Z,3,That thing is fucking scary,True
@Qladstone,2015-10-18T03:00:35Z,1,"Thanks so must sentdex, you got me excited to try the GoPiGo.  For those wondering if we could write it such that GoPiGo keeps moving, but stops the moment it comes within some range of an obstacle, instead of stopping to check every 1 second, perhaps we can do this:  def forward_trudge():     fwd()     servo(70) # to point servo dead straight ahead     while True: # GoPiGo is still moving forward         time.sleep(0.1) # just so it checks the distance every 0.1 seconds         if us_dist(15) < 30:             stop()             break # exit loop, end of function  with this you can call forward_trudge() anywhere in your autonomy() function, and do a follow-up after forward_trudge() which will be executed upon GoPiGo meeting an obstacle. If you wanted GoPiGo to not move forward indefinitely you could of course give it a random chance to break out of the loop every time it enters it. (You could track a counter, make that probability of breaking from the loop increase as the counter increases etc.).",True
@CASMANWHAT,2015-09-26T13:57:29Z,1,epicness x1000.,True
@krissclever6086,2015-08-31T12:18:12Z,0,I just bought the pi and thank you soo much for the videos,True
@minhuang8848,2015-08-31T08:12:30Z,61,"sentdex, you're the kind of guy the Internet needs. Great tutorials with good sound recordings, nice pace and really quality content? Wish you'd gain more exposure!",True
@Dr2011rj,2015-08-31T07:09:09Z,0,"Yeah think he might have meant ? :  sleep = time.sleep and then sleep(1) I'm no expert, but cool thanks, looking forward to the OpenCV || whatever will be using the Pi Cam",True
@clemdrounear1433,2015-08-30T20:48:15Z,3,"You killed me when the error came and you said ""Oh, we called sleep"" then just erased! NoneType object is not callable! Of course, sleep = time.sleep(1) execute time.sleep then return the value of the function (obviously you return no value by sleeping!). Besides its impossible to call a function by its name. So would be ""sleep = lambda: time.sleep(1)"" then ""sleep()"" (but who would do those unecessary calls ??)  Keep up the good work, really enjoy your videos, I learn much, you do know python !!",True
