author,updated_at,like_count,text,public
@muktaroy7446,2024-02-03T13:26:59Z,0,"please make a video on exploratory data analysis, including every ways",True
@abhishekpannosi2219,2022-05-30T15:45:17Z,0,"sir , many of students or working professional or anyone with who inspiring to learn  data sceince , they are face these below queries......  sir kindly i request please make videos on to learn data sceince  1. How to be prepare with psychological and physical levels ( confidence , passion , kind of attitude that kind of things ) and how we clear our mind is it possible to  learn data sceince or not ? bcoz we are good at one thing and rest of the things we are dont know ....so doubting ourselves like this......in life time is very precious thing so, once time goes it will not came again but knoweldge we gain but not time.,,,,, 2. how i am manage time corelate with this as working profffessional , fresher  and student to learn data sceince  3. after learning again getting job is more problems.... 4. how to get proper guidance  5. how i trust institute which they teach data sceince..... 6. how i manage with family problems  7. how i manage and what kind of difficulties will came means with respect to compare to ur personal life ( with respect to time , family , personal problems ) after joining company......  many people frustating with these kind of problems and if u have know many more please kindly share sir.,,,,,",True
@lightning369,2022-03-30T06:01:51Z,0,I have been following your videos and now your subscriber and I can say you are resourceful and talented. You explain everything lucidly and one can grasp well. Keep it up Krish Naik.,True
@datascienceharp,2022-03-07T11:03:25Z,0,Entertaining and informative! Great effort ... I have created a related video that talks self-development podcast for your data scientist career. Check out- https://www.youtube.com/watch?v=HfPZkuU65OY,True
@datahat642,2022-02-23T10:59:48Z,0,"One of the best things about you is the continuous learning, making data science a journey and not a destination :)",True
@indirajithkv7793,2022-01-31T18:53:29Z,0,❤,True
@jassikadancevideo4029,2021-12-03T18:00:53Z,0,"I have 15 years experience in supply chain management.Now I want to switch my carrier in DS,ML,AI.please suggest  is it right decision",True
@3LOKBaba,2021-08-19T18:34:14Z,0,Great Knowledge you have been sharing sir. Thank you,True
@shaheenaparvin3189,2021-06-19T11:00:14Z,0,Hi Krish I like all your videos and your mindset is just awesome..! Thank you for sharing your journey with us,True
@sarthakpandey6082,2021-04-29T05:30:03Z,0,"Sir my background is bca but i want to know road map to become a data scientists because I don't know about this field. Many people tell me maths is hard u cannot solve it.So,sir I request you to give me some advice.",True
@rishabhchawda112,2021-04-02T12:36:31Z,1,Sir i am student of btech computer engineering and want to go into data science so my most confusing que is what to do next?😂 I am searching for ans since 11th. And not able to get plz guide me.,True
@himanshichauhan7440,2021-02-17T11:15:07Z,0,sir i am also a .net developer in ibm and working from last 2 years thanku for motivating me,True
@BhaveshSinghBhanucsgo,2021-02-02T17:35:22Z,0,thanks a lot,True
@WellPlayedGamingYT,2021-01-22T19:08:30Z,0,5:00,True
@WellPlayedGamingYT,2021-01-22T19:08:24Z,0,4:00,True
@WellPlayedGamingYT,2021-01-22T19:08:18Z,0,3:00,True
@WellPlayedGamingYT,2021-01-22T19:08:10Z,0,2:00,True
@WellPlayedGamingYT,2021-01-22T19:08:02Z,0,6:00,True
@amoshnin,2021-01-15T06:59:28Z,0,Thanks for the video!,True
@nandhu2397,2021-01-01T13:43:04Z,0,I'm civil engineering graduate completed in 2017 could I become data scientist if I start learning from now?,True
@satyamsingh364,2020-12-21T10:13:53Z,0,You look like my teacher somen jha,True
@vinitghate6476,2020-11-26T08:52:47Z,0,How bca students can enter in artificial intelligence?? Help!!,True
@Catventure40,2020-11-19T14:27:25Z,0,"Sir i have done plane B.sc with maths ,I'm very much curious about data science .can get into it and if yes then what is the best way to learn programming .",True
@tushar7238,2020-11-07T12:04:06Z,0,Can 12 pass student can become data scientist..,True
@sreenathba573,2020-10-25T15:11:23Z,1,Sir can I go for be/btech in AI&ML and then switch my career to a data scientist?,True
